Group,AA,GLY,OXO,SUL,TAU,tetra,UNC
X16NAVY06_1_plasma.mzML_1,0,2017839,0,0,0,0,0
X16NAVY08_5_plasma.mzML_1,0,0,0,0,0,0,0
X394_Plasma.mzML_1,0,4473980,0,0,5355223,0,0
X16NAVY08_9_plasma.mzML_1,0,615543,0,0,0,0,0
X16NAVY12_2_plasma.mzML_1,0,949283,0,0,0,0,0
X16NAVY14_9_plasma.mzML_1,0,1374721,0,0,0,0,0
X16NAVY14_18_plasma.mzML_1,0,1067505,0,0,0,0,0
X16NAVY06_2_plasma.mzML_1,0,3103056,0,0,632975,0,0
X326_Plasma.mzML_1,0,1890945,0,0,0,0,0
X16NAVY14_1_plasma.mzML_1,0,1332213,0,0,0,0,0
X16NAVY14_3_plasma.mzML_1,0,5019072,0,0,0,0,0
X18NAVY28_7_plasma.mzML_1,0,0,0,0,0,0,0
X16NAVY11_6_plasma.mzML_1,0,2865340,0,0,4618710,0,0
X18NAVY28_1_plasma.mzML_1,0,1392665,0,0,0,0,0
X16NAVY10_20_plasma.mzML_1,0,1792704,0,0,0,0,0
X15NAVY01_1_plasma.mzML_1,0,5874493,0,0,1120140,0,0
X513_Plasma.mzML_1,0,3036678,0,0,1974714,0,0
X16NAVY14_2_plasma.mzML_1,0,3368917,0,0,0,0,0
X16NAVY10_14_plasma.mzML_1,0,0,0,0,0,0,0
X16NAVY06_7_plasma.mzML_1,0,2928086,0,0,1388565,0,0
X16NAVY12_1_plasma.mzML_1,0,1158890,0,0,0,0,0
X18NAVY28_10_plasma.mzML_1,0,1552458,0,0,2423213,0,0
X16NAVY12_10_plasma.mzML_1,0,0,0,0,0,0,0
X16NAVY06_12_plasma.mzML_1,0,3311586,0,0,3089768,0,0
X494_Plasma.mzML_1,0,0,0,0,0,0,0
X16NAVY11_5_plasma.mzML_1,0,2441572,0,0,7432430,0,1780240
X16NAVY14_14_plasma.mzML_1,0,0,0,0,0,0,0
X16NAVY10_15_plasma.mzML_1,0,0,0,0,0,0,0
X16NAVY14_15_plasma.mzML_1,0,859760,0,0,0,0,0
X366_Plasma.mzML_1,0,1679968,0,0,0,0,0
X358_Plasma_20191118040504.mzML_1,0,2687468,0,0,1821219,0,0
X16NAVY10_10_plasma.mzML_1,0,2421772,0,0,0,0,0
X16NAVY06_13_plasma.mzML_1,0,2872268,0,0,1006430,0,0
X16NAVY14_8_plasma.mzML_1,0,741033,0,0,0,0,0
X16NAVY10_13_plasma.mzML_1,0,4634846,0,0,1174089,0,0
X16NAVY14_17_plasma.mzML_1,0,1059550,0,0,0,0,0
X16NAVY06_16_plasma.mzML_1,0,5749340,0,0,2070689,0,0
X432_Plasma.mzML_1,0,0,0,0,0,0,0
X487_Plasma.mzML_1,0,9355590,0,0,0,0,0
X16NAVY10_1_plasma.mzML_1,0,686553,0,0,0,0,0
X16NAVY11_10_plasma.mzML_1,0,0,0,0,0,0,0
X17NAVY22_17_plasma.mzML_1,0,1096340,0,0,976566,0,0
X15NAVY01_2_plasma.mzML_1,0,2858416,0,0,1972710,0,0
X17NAVY22_4_plasma.mzML_1,0,739394,0,0,0,0,0
X16NAVY06_15_plasma.mzML_1,0,3269050,0,0,1097685,0,0
X16NAVY11_8_plasma.mzML_1,0,4193816,0,0,0,0,0
X16NAVY10_17_plasma.mzML_1,0,2835755,0,0,0,0,0
X16NAVY10_12_plasma.mzML_1,0,1641716,0,0,0,0,0
X17NAVY22_15_plasma.mzML_1,0,877047,0,0,0,0,0
X16NAVY06_14_plasma.mzML_1,0,0,0,0,0,0,0
X16NAVY11_7_plasma.mzML_1,0,9117500,0,0,2670995,0,2396640
X16NAVY10_9_plasma.mzML_1,0,377542,0,0,0,0,0
X16NAVY06_8_plasma.mzML_1,0,733202,0,0,711905,0,0
X16NAVY11_4_plasma.mzML_1,0,3108942,0,0,5778062,0,0
X16NAVY08_10_plasma.mzML_1,0,0,0,0,0,0,1545060
X16NAVY10_6_plasma.mzML_1,0,0,0,0,0,0,0
X16NAVY08_6_plasma.mzML_1,0,0,0,0,0,0,0
X16NAVY04_14_plasma.mzML_1,0,551415,0,0,0,0,0
X18NAVY28_4_plasma.mzML_1,0,1717544,0,0,0,0,0
X17NAVY22_10_plasma.mzML_1,0,427365,0,0,0,0,0
X18NAVY28_15_plasma.mzML_1,0,6091428,0,0,907210,0,0
X16NAVY12_4_plasma.mzML_1,0,1938775,0,0,0,0,0
X18NAVY28_11_plasma.mzML_1,0,1928350,0,0,1234872,0,0
X17NAVY22_2_plasma.mzML_1,0,2139744,0,0,962658,0,0
X16NAVY14_13_plasma.mzML_1,0,757706,0,0,0,0,0
X17NAVY22_16_plasma.mzML_1,0,452052,0,0,0,0,0
X428_Plasma.mzML_1,0,4171367,0,0,0,0,0
X15NAVY01_10_plasma.mzML_1,0,11314030,0,0,3659963,0,0
X16NAVY10_3_plasma.mzML_1,0,224471,0,0,0,0,0
X17NAVY22_1_plasma.mzML_1,0,0,0,0,0,0,0
X17NAVY22_8_plasma.mzML_1,0,1052100,0,0,0,0,384999
X364_Plasma_20191118044522.mzML_1,0,3205079,0,0,0,0,0
X412_Plasma.mzML_1,0,7362281,0,0,2017494,0,0
X16NAVY08_20_plasma.mzML_1,0,304277,0,0,1383906,0,0
X16NAVY10_8_plasma.mzML_1,0,0,0,0,0,0,0
X15NAVY01_6_plasma.mzML_1,0,4440709,0,0,6087495,0,0
X16NAVY06_17_plasma.mzML_1,0,5864640,0,0,4901401,0,0
X16NAVY08_8_plasma.mzML_1,0,891075,0,0,0,0,0
X16NAVY14_20_plasma.mzML_1,0,4755707,0,0,0,0,0
X16NAVY08_3_plasma.mzML_1,0,2037816,0,0,0,0,0
X18NAVY28_3_plasma.mzML_1,0,751204,0,0,0,0,0
X16NAVY06_19_plasma.mzML_1,0,2790643,0,0,2514148,0,0
