PlotOrder,UNC,GLY,TAU,AA,OXO,SUL,tetra
1,0,0,1,0,0,0,0
2,0,1,0,0,0,0,0
3,0,0.192367394,0.807632606,0,0,0,0
4,0,0.078756689,0.921243311,0,0,0,0
5,0,0,0,0,1,0,0
6,0,0,0,0,1,0,0
7,0,0.05813765,0.94186235,0,0,0,0
8,0,0.168843759,0.831156241,0,0,0,0
9,0,0.006809759,0.979283909,0,0.013906331,0,0
10,0,1,0,0,0,0,0
11,0,0.127493638,0.872506362,0,0,0,0
12,0,0.451529322,0.548470678,0,0,0,0
13,0,0,1,0,0,0,0
14,0,0,1,0,0,0,0
15,0,0.02864971,0.97135029,0,0,0,0
16,0,0.191116261,0.808883739,0,0,0,0
17,0,0.045279798,0.928834922,0,0.02588528,0,0
18,0,0.05440635,0.94559365,0,0,0,0
19,0,0,0,0,1,0,0
20,0,0.05773547,0.94226453,0,0,0,0
21,0,0,1,0,0,0,0
22,0,0.092446856,0.907553144,0,0,0,0
23,0,0.047082693,0.952917307,0,0,0,0
24,0,0.157172556,0.842827444,0,0,0,0
25,0,0,1,0,0,0,0
26,0,0,0,0,1,0,0
27,0,0.137500916,0.827193177,0,0.035305908,0,0
28,0,0.264756793,0.735243207,0,0,0,0
29,0,0,1,0,0,0,0
30,0,0,1,0,0,0,0
31,0,0.161855055,0.838144945,0,0,0,0
32,0,0.022490025,0.977509975,0,0,0,0
33,0,0.602734916,0.397265084,0,0,0,0
34,0,0.138788443,0.83192472,0,0.029286838,0,0
35,0,0,1,0,0,0,0
36,0,0.06905437,0.878565145,0,0.052380485,0,0
37,0,0.068296509,0.931703491,0,0,0,0
38,0,0,1,0,0,0,0
39,0,0.026340367,0.928252658,0,0.045406975,0,0
40,0,0.307061265,0.692938735,0,0,0,0
41,0,0.228369687,0.771630313,0,0,0,0
42,0,0.053673744,0.946326256,0,0,0,0
43,0,0,1,0,0,0,0
44,0,0.055055627,0.929705657,0,0.015238716,0,0
45,0,0.100134068,0.899865932,0,0,0,0
46,0,0.92285272,0.07714728,0,0,0,0
47,0,0.106385307,0.886879477,0,0.006735216,0,0
48,0,0,0.448664915,0,0.551335085,0,0
49,0,0,1,0,0,0,0
50,0,0.048706625,0.951293375,0,0,0,0
51,0,0,1,0,0,0,0
52,0,0.324905952,0.675094048,0,0,0,0
53,0,0.013620612,0.897736247,0,0.040498071,0,0.048145071
