Group,AA,GLY,OXO,SUL,TAU,tetra,UNC
X38782.mzXML_1,286386,8051270,216256770,0,78205620,182462280,1479908940
X38980.mzXML_1,0,0,638724668,0,0,9589700,257205160
M.240.mzML_1,0,0,1367919280,0,0,0,310997635
X11713.9.F.9B.mzML_1,0,30098760,0,0,242664120,0,13988700
X38765.mzXML_1,0,10324300,179533810,0,0,254307200,665090530
X38838.mzXML_1,0,0,9587420,0,2109130,6504100,190664202
X38914.mzXML_1,20477936,33579400,165985120,0,107614950,271728000,950018925
X11713.8.F.8F.mzML_1,0,0,0,0,12457820,0,0
X38932.mzXML_1,0,0,368468660,0,0,0,91851140
M.160.mzML_1,0,28930430,180772680,0,46723800,0,255706463
X39130.mzXML_1,24150300,0,374764970,0,0,103476320,2342143145
X11713.1.F.1E.mzML_1,0,2750900,0,0,11629386,0,12594090
X11713.1.F.1A.mzML_1,0,7264600,0,0,0,0,0
X11713.8.F.8E.mzML_1,0,17230990,0,0,72342350,0,0
X38706.mzXML_1,9837570,0,58803300,9317880,44433480,135136860,2086689150
X11713.10.F.10F.mzML_1,0,0,0,0,0,0,0
X39038.mzXML_1,0,0,39758250,0,0,0,12544800
X38908.mzXML_1,0,0,24509110,0,0,23625200,407151450
X11713.3.F.3C.mzML_1,0,1801360,0,0,21071110,0,0
dhmc_1_10.mzML_1,124480,0,9613760,0,7063650,0,35186696
X17NAVY22_V2_20170820.mzML_1,0,0,1214940,0,0,0,22637763
X38849.mzXML_1,41475690,6856170,133259264,2906080,21291240,46085200,1056899210
X38718.mzXML_1,0,2957040,32721650,0,11855010,0,1418180681
X38882.mzXML_1,0,37693600,3269978012,0,0,0,971487060
X39114.mzXML_1,0,20788860,22319460,0,2225090,42910000,330295900
X38769.mzXML_1,0,0,5957550,0,3873240,4980620,218397955
X39023.mzXML_1,16509376,5326920,151432200,8789820,0,8757420,1794933200
X11713.25.F.25B.mzML_1,0,17383543,1389110,0,57334119,0,722285
X38818.mzXML_1,0,6074856,1920249584,0,0,4129440,575709800
X38963.mzXML_1,0,0,648856190,0,0,0,53444840
X38799.mzXML_1,0,0,32660200,0,0,0,0
X11713.11.F.11G.mzML_1,0,0,0,0,0,0,0
X39119.mzXML_1,575566,1943630,1079715910,0,0,0,563918060
X38892.mzXML_1,0,19821872,104007880,0,0,0,50838160
X39135.mzXML_1,0,0,56677910,15428220,98691620,0,2456305490
X38724.mzXML_1,0,0,644373910,0,0,0,35115881
X38820.mzXML_1,0,12188690,949709150,0,0,86429460,688265170
X38833.mzXML_1,276250,0,0,0,0,5267840,58513580
X38806.mzXML_1,3081810,10066810,317537970,0,0,55076180,1328584190
X11713.10.F.10C.mzML_1,0,10796620,0,0,35532743,0,6277960
X38938.mzXML_1,0,3058340,600057520,0,0,23111800,625829523
X38741.mzXML_1,0,4766557,470235170,0,30429340,39054380,1158064421
X39125.mzXML_1,0,6367080,3050160,11117260,5939200,1683692,2629789700
X38889.mzXML_1,0,0,54291920,0,0,0,0
X38722.mzXML_1,0,0,1280680980,0,0,0,864755691
X38912.mzXML_1,0,25578780,1181036880,0,0,49654080,1288959550
X38862.mzXML_1,0,3431270,200392680,0,0,0,73011360
X11713.11.F.11B.mzML_1,0,15579290,0,0,24426811,0,2897550
X38819.mzXML_1,0,0,154315690,0,5933210,0,66133870
X38873.mzXML_1,0,11302100,1353508680,0,0,1682344,1206500470
X11713.8.F.8D.mzML_1,0,3802600,0,0,61604240,0,0
X38701.mzXML_1,0,13669872,134497540,10737720,0,308020400,347304630
X38703.mzXML_1,0,26917270,41066914,0,23072300,145116000,1132864680
X38753.mzXML_1,0,0,577164295,0,0,10887260,271168640
X38887.mzXML_1,0,0,0,0,0,0,0
X11713.1.F.1D.mzML_1,0,0,0,0,0,0,0
X11713.22.F.22E.mzML_1,0,8640500,0,0,42534030,0,0
X38962.mzXML_1,3010930,0,285958880,11465680,53724190,0,506767530
X38705.mzXML_1,31823600,40021260,60513320,0,234075700,15055520,3694796990
X38732.mzXML_1,4223230,233205371,70093980,0,314066110,0,1479798900
X18NAVY28_V1_20180325.mzML_1,1411290,0,0,0,0,1999176,438581669
X38843.mzXML_1,0,0,157692550,0,1471520,0,4241940
X38699.mzXML_1,0,17221390,1001107960,0,0,6292160,575394829
X38823.mzXML_1,0,0,1093815360,0,0,0,93792020
X38797.mzXML_1,0,0,320855470,0,0,0,95150600
X38815.mzXML_1,0,2745460,496436670,0,0,52489300,177868950
X11713.11.F.11F.mzML_1,0,870724,1778121,0,125215290,0,0
X11713.2.F.6.2E.mzML_1,0,3909750,0,0,0,0,0
X16NAVY06_V1_20160204.mzML_1,0,0,0,0,0,0,0
X39140.mzXML_1,0,229732684,211141760,0,422778490,155943000,987992100
X11713.4.F.4G.mzML_1,0,128281520,12499090,0,558475330,10947540,427497410
X38895.mzXML_1,2329652,0,644548360,6634640,0,63618500,1759226172
M.451.mzML_1,0,221844730,428514930,0,0,0,590277403
X38955.mzXML_1,0,120949581,64923490,0,204252300,72752000,227131171
X38813.mzXML_1,0,621072430,638385000,0,495488030,0,1589329860
X38839.mzXML_1,36315760,23091859,1718223450,0,0,91095600,1158932141
M.547.mzML_1,0,0,840782750,0,0,0,317362190
X11713.19.F.19E.mzML_1,0,22764890,9254130,0,424269510,0,2363988
X38936.mzXML_1,0,4626610,518885400,0,0,0,72980290
X38780.mzXML_1,0,3597080,532686800,28317340,8098710,89564140,522239144
X16NAVY12_V2_20160814.mzML_1,0,0,0,0,0,0,4798870
X11713.23.F.23C.mzML_1,0,80756680,0,0,552660650,0,0
X38940.mzXML_1,0,1484030,176629558,0,0,0,92865454
X38877.mzXML_1,0,85936210,1089121020,0,77576600,58831340,3719551600
X11713.11.F.11C.mzML_1,0,8873680,0,0,10778820,0,0
X11713.4.F.4D.mzML_1,0,126394260,61318460,0,1228657270,0,31241120
X11713.10.F.10D.mzML_1,0,0,0,0,53194830,0,0
X38967.mzXML_1,0,0,120364600,0,1444830,0,48536320
X11713.19.F.19A.mzML_1,0,0,0,0,0,0,0
X38708.mzXML_1,38509070,9620440,1065807200,16985140,23294500,208065240,2411690280
M.179.mzML_1,0,0,305571080,0,0,0,181886510
X38888.mzXML_1,0,0,91038120,0,0,0,4896220
X11713.1.F.1F.mzML_1,0,0,0,0,0,0,0
X18NAVY28_V2_20180415.mzML_1,0,0,0,0,109393,0,18872562
X38694.mzXML_1,5517420,0,76399240,0,0,382016400,591408600
X16NAVY12_V2_20160813.mzML_1,0,0,2341870,0,0,0,78011922
X11713.8.F.8A.mzML_1,0,0,0,0,5631420,0,0
X11713.8.F.8C.mzML_1,0,14629689,0,0,50127400,0,7417140
X38811.mzXML_1,0,10612300,62412200,0,57231570,45732600,1329369190
X38749.mzXML_1,11787130,48458910,2150710283,0,6198300,70135140,1668718700
X11713.23.F.23F.mzML_1,0,1645670,0,0,55795400,0,0
X16NAVY14_V2_20161118.mzML_1,0,0,1188122,0,0,1262850,123440664
X38899.mzXML_1,4178620,1344280,1178695400,31557700,9048940,43498860,1303617780
X38776.mzXML_1,0,0,0,10143120,81011170,7976320,983330180
M.355.mzML_1,0,0,41677190,0,0,0,123433626
X11713.10.F.10B.mzML_1,0,2756350,0,0,11666023,0,0
X38709.mzXML_1,0,0,65049233,0,0,0,48122584
X16NAVY11_V2_20160713.mzML_1,0,0,0,0,0,0,1272360
X16NAVY10_V2_20160712.mzML_1,0,0,0,0,0,0,994551
M.467.mzML_1,0,1107420,400877500,0,0,0,140593760
X11713.23.F.23D.mzML_1,0,10514770,6011020,0,215691900,0,0
X11713.6.F.6C.mzML_1,0,5259970,0,0,91419370,0,0
X16NAVY11_V1_20160623.mzML_1,0,0,0,0,0,0,3432565
X18NAVY28_V2_20180413.mzML_1,0,0,36216166,0,0,0,730597447
X38897.mzXML_1,0,0,121437160,4255440,0,12864760,1281094920
X38905.mzXML_1,0,0,12926120,0,0,0,0
X38867.mzXML_1,0,17173894,184092986,0,0,0,713223470
X11713.9.F.9A.mzML_1,0,4803620,0,0,78396880,0,0
X11713.2.F.2B.mzML_1,0,0,0,0,12530250,0,0
X11713.19.F.19D.mzML_1,0,4492620,0,0,44104165,0,0
X11713.25.F.25D.mzML_1,0,3781140,0,0,76527350,0,0
X11713.4.F.4B.mzML_1,0,57718012,7336700,0,353374424,0,3259170
M.499.mzML_1,0,23230660,5814474890,0,0,0,650740646
X39116.mzXML_1,0,1195850,62561230,0,20289470,36342000,47182800
X11713.22.F.22F.mzML_1,0,87704340,0,0,536079648,0,23834800
X39029.mzXML_1,0,3472930,140395280,20899450,1657900,0,533521490
X11713.21.F.21D.mzML_1,0,30193450,0,0,161910380,0,0
X38743.mzXML_1,0,0,846380100,5079360,0,24019040,1550903500
X38786.mzXML_1,0,4401880,484461120,0,108523890,2258200,413280319
X38925.mzXML_1,1288650,22467450,395098720,0,7747070,38321200,1145002840
X38800.mzXML_1,3299230,34681997,1287272752,0,36919980,12447160,3493435590
X38859.mzXML_1,0,238746,570863730,0,0,0,59481978
X38995.mzXML_1,3240659,0,109838190,5444000,4893500,131136960,1143040591
X11713.3.F.3E.mzML_1,0,0,0,0,0,2995880,0
X38858.mzXML_1,1360630,7016160,1964135880,0,0,7526920,1389778894
X38880.mzXML_1,0,0,129482509,0,0,0,64282336
X16NAVY06_V2_20160227.mzML_1,0,0,0,0,1788583,0,0
X39133.mzXML_1,3870600,2246130,60501800,0,0,16243800,1026331208
M.211.mzML_1,0,255350803,683037900,0,6076410,4427900,358260209
X16NAVY12_V1_20160723.mzML_1,0,0,1255070,0,109893,0,29811303
X38731.mzXML_1,0,0,438090676,0,0,0,27326000
X38733.mzXML_1,0,0,137687080,0,0,12025400,24219971
X72849.mzML_1,0,0,0,0,0,0,7117838
X38740.mzXML_1,0,10310700,2344187400,0,0,5885020,309333243
X39134.mzXML_1,0,8059270,14445960,0,27550320,30585400,127918030
M.227.mzML_1,0,1392239740,2745562820,0,18109500,4525200,544091409
X11713.8.F.8B.mzML_1,0,10903094,0,0,18857739,0,18935430
X38764.mzXML_1,0,0,69231160,0,2189380,0,36996560
X11713.12.F.12E.mzML_1,0,0,0,0,0,0,0
X11713.21.F.21E.P2.mzML_1,0,0,0,0,0,0,0
X39030.mzXML_1,32467940,0,749579770,5813560,0,123805340,1480340242
M.864.mzML_1,0,10467760,550286540,0,0,0,593717322
M.176.mzML_1,0,0,439384410,0,0,0,639319520
X38846.mzXML_1,0,10198120,677690040,0,0,38327340,236865030
