Group,AA,GLY,OXO,SUL,TAU,tetra,UNC
X11129_NT1D024_JJK_Ur.mzML_1,0,10423124,0,0,0,0,0
M.635.mzML_1,0,0,0,0,0,0,0
M.347.mzML_1,0,966399,0,0,0,0,1628404
X11129_NH011_JJK_Ur.mzML_1,0,41534240,0,0,0,0,18311640
Urine_NGS136_FragPos.mzML_1,0,0,0,0,0,0,0
Urine_NGS020_FragPos.mzML_1,0,0,0,0,0,0,0
X586.mzML_1,0,0,0,0,0,0,0
Urine_101_Top10_posneg.mzML_1,0,0,0,0,0,0,0
M.477.mzML_1,0,0,0,0,0,0,0
Urine_NGS010_FragPos.mzML_1,0,0,0,0,0,0,0
Urine_NGS068_FragPos.mzML_1,0,0,0,0,0,0,0
X11129_OH012_JJK_Ur.mzML_1,0,20796580,0,0,0,0,5108560
M.363.mzML_1,0,0,0,0,0,0,0
Urine_NGS058_FragPos.mzML_1,0,0,0,0,0,0,0
X11129_OH003_JJK_Ur.mzML_1,0,15879166,0,0,0,0,28179080
M.557.mzML_1,0,0,0,0,0,0,0
M.493.mzML_1,0,0,0,0,0,0,0
Urine_NGS088_FragPos.mzML_1,0,0,0,0,0,0,0
X11129_NH005_JJK_Ur.mzML_1,0,12699664,0,0,0,0,15714640
M.491.mzML_1,0,0,0,0,0,0,0
X936.mzML_1,0,0,0,0,0,0,0
Urine_NGS078_FragPos.mzML_1,0,0,0,0,0,0,0
X554.mzML_1,0,0,0,0,0,0,0
Urine_NGS103_FragPos.mzML_1,0,0,0,0,0,0,0
M.621.mzML_1,0,0,0,0,0,0,0
Urine_86_Top10_posneg.mzML_1,0,0,0,0,0,0,0
Urine_NGS032_FragPos.mzML_1,0,0,0,0,0,0,0
X11129_OH001_JJK_Ur.mzML_1,0,7485113,0,0,0,0,4196932
Urine_NGS110_FragPos.mzML_1,0,0,0,0,0,0,0
X11129_NT1D026_JJK_Ur.mzML_1,0,0,0,0,0,0,0
