"Compound_Name"	"X17NAVY25_10_plasma.mzML"	"X15NAVY03_19_plasma.mzML"	"X15NAVY02_20_plasma.mzML"	"X16NAVY13_13_plasma.mzML"	"X16NAVY13_16_plasma.mzML"	"X18NAVY32_12_plasma.mzML"	"X15NAVY02_11_plasma.mzML"	"X17NAVY18_13_plasma.mzML"	"X410_Plasma.mzML"	"X332_Plasma.mzML"	"X17NAVY19_4_plasma.mzML"	"X374_Plasma.mzML"	"X17NAVY24_2_plasma.mzML"	"X16NAVY15_8_plasma.mzML"	"X384_Plasma.mzML"	"X18NAVY32_15_plasma.mzML"	"X18NAVY32_2_plasma.mzML"	"X404_Plasma.mzML"	"X18NAVY30_1_plasma.mzML"	"X16NAVY04_10_plasma.mzML"	"X485_Plasma.mzML"	"X16NAVY13_10_plasma.mzML"	"X17NAVY18_8_plasma.mzML"	"X17NAVY18_17_plasma.mzML"	"X18NAVY30_11_plasma.mzML"	"X519_Plasma.mzML"	"X16NAVY15_16_plasma.mzML"	"X17NAVY24_10_plasma.mzML"	"X16NAVY13_19_plasma.mzML"	"X18NAVY32_5_plasma.mzML"	"X16NAVY13_4_plasma.mzML"	"X16NAVY15_9_plasma.mzML"	"X340_Plasma.mzML"	"X17NAVY25_5_plasma.mzML"	"X18NAVY27_10_plasma.mzML"	"X18NAVY32_1_plasma.mzML"	"X17NAVY19_9_plasma.mzML"	"X16NAVY04_11_plasma.mzML"	"X17NAVY18_5_plasma.mzML"	"X15NAVY02_9_plasma.mzML"	"X16NAVY09_11_plasma.mzML"	"X16NAVY09_20_plasma.mzML"	"X15NAVY03_14_plasma.mzML"	"X392_Plasma.mzML"	"X17NAVY18_14_plasma.mzML"	"X18NAVY30_15_plasma.mzML"	"X15NAVY03_1_plasma.mzML"	"X16NAVY13_8_plasma.mzML"	"X16NAVY09_9_plasma.mzML"	"X17NAVY19_3_plasma.mzML"	"X18NAVY30_13_plasma.mzML"	"X17NAVY25_1_plasma.mzML"	"X344_Plasma.mzML"	"X15NAVY02_8_plasma.mzML"	"X406_Plasma.mzML"	"X15NAVY03_16_plasma.mzML"	"X15NAVY02_16_plasma.mzML"	"X15NAVY02_4_plasma.mzML"	"X16NAVY05_3_plasma.mzML"	"X17NAVY24_14_plasma.mzML"	"X16NAVY05_19_plasma.mzML"	"X18NAVY32_11_plasma.mzML"	"X15NAVY02_2_plasma.mzML"	"X473_Plasma.mzML"	"X16NAVY09_12_plasma.mzML"	"X426_Plasma.mzML"	"X18NAVY27_14_plasma.mzML"	"X422_Plasma.mzML"	"X16NAVY15_14_plasma.mzML"	"X380_Plasma.mzML"	"X18NAVY27_19_plasma.mzML"	"X17NAVY24_13_plasma.mzML"	"X342_Plasma.mzML"	"X17NAVY24_19_plasma.mzML"	"X17NAVY25_7_plasma.mzML"	"X479_Plasma.mzML"	"X517_Plasma.mzML"	"X18NAVY30_18_plasma.mzML"	"X16NAVY15_6_plasma.mzML"	"X17NAVY25_3_plasma.mzML"	"X18NAVY27_1_plasma.mzML"	"X16NAVY05_12_plasma.mzML"	"X15NAVY02_19_plasma.mzML"	"X15NAVY02_17_plasma.mzML"	"X18NAVY30_14_plasma.mzML"	"X18NAVY27_4_plasma.mzML"	"X15NAVY03_18_plasma.mzML"	"X18NAVY30_2_plasma.mzML"	"X16NAVY05_9_plasma.mzML"	"X368_Plasma_20191118051546.mzML"	"X360_Plasma_20191118041830.mzML"	"X16NAVY04_15_plasma.mzML"	"X416_Plasma.mzML"	"X17NAVY24_17_plasma.mzML"	"X17NAVY24_16_plasma.mzML"	"X17NAVY24_6_plasma.mzML"	"X18NAVY27_5_plasma.mzML"	"X18NAVY30_7_plasma.mzML"	"X16NAVY15_18_plasma.mzML"	"X18NAVY30_6_plasma.mzML"	"X18NAVY27_20_plasma.mzML"	"X16NAVY04_12_plasma.mzML"	"X15NAVY02_14_plasma.mzML"	"X17NAVY24_20_plasma.mzML"	"X17NAVY19_6_plasma.mzML"	"X17NAVY24_4_plasma.mzML"	"X17NAVY18_2_plasma.mzML"	"X16NAVY04_17_plasma.mzML"	"X16NAVY05_4_plasma.mzML"	"X15NAVY03_20_plasma.mzML"	"X18NAVY32_6_plasma.mzML"	"X16NAVY13_7_plasma.mzML"	"X434_Plasma.mzML"	"X18NAVY30_10_plasma.mzML"	"X16NAVY05_2_plasma.mzML"	"X502_Plasma.mzML"	"X16NAVY15_10_plasma.mzML"	"X17NAVY18_7_plasma.mzML"	"X16NAVY15_11_plasma.mzML"	"X330_Plasma.mzML"	"X16NAVY05_7_plasma.mzML"	"X16NAVY13_6_plasma.mzML"	"X16NAVY04_3_plasma.mzML"	"X16NAVY09_15_plasma.mzML"	"X16NAVY05_11_plasma.mzML"	"X17NAVY24_5_plasma.mzML"	"X16NAVY13_2_plasma.mzML"	"X15NAVY02_7_plasma.mzML"	"X16NAVY05_5_plasma.mzML"	"X504_Plasma.mzML"	"X15NAVY03_9_plasma.mzML"	"X17NAVY18_6_plasma.mzML"	"X17NAVY24_9_plasma.mzML"	"X18NAVY32_4_plasma.mzML"	"X16NAVY05_10_plasma.mzML"	"X16NAVY04_16_plasma.mzML"	"X16NAVY04_13_plasma.mzML"	"X17NAVY24_18_plasma.mzML"	"X18NAVY27_7_plasma.mzML"	"X15NAVY03_4_plasma.mzML"	"X17NAVY24_12_plasma.mzML"	"X16NAVY15_15_plasma.mzML"	"X18NAVY27_11_plasma.mzML"	"X18NAVY30_12_plasma.mzML"	"X16NAVY09_3_plasma.mzML"	"X17NAVY19_1_plasma.mzML"	"X18NAVY32_16_plasma.mzML"	"X16NAVY15_7_plasma.mzML"	"X16NAVY09_8_plasma.mzML"	"X18NAVY32_14_plasma.mzML"	"X15NAVY02_12_plasma.mzML"	"X388_Plasma.mzML"	"X408_Plasma_20191118055604.mzML"	"X16NAVY05_18_plasma.mzML"	"X15NAVY03_3_plasma.mzML"	"X15NAVY03_13_plasma.mzML"	"X328_Plasma.mzML"	"X17NAVY24_1_plasma.mzML"	"X16NAVY05_17_plasma.mzML"	"X16NAVY09_10_plasma.mzML"	"X15NAVY02_6_plasma.mzML"	"X18NAVY27_18_plasma.mzML"	"X16NAVY15_20_plasma.mzML"	"X15NAVY03_2_plasma.mzML"	"X356_Plasma_20191118035138.mzML"	"X18NAVY32_13_plasma.mzML"	"X16NAVY05_8_plasma.mzML"	"X16NAVY13_9_plasma.mzML"	"X16NAVY05_13_plasma.mzML"	"X498_Plasma.mzML"	"X18NAVY27_8_plasma.mzML"	"X18NAVY30_16_plasma.mzML"	"X17NAVY18_12_plasma.mzML"	"X15NAVY02_1_plasma.mzML"	"X16NAVY15_5_plasma.mzML"	"X376_Plasma.mzML"	"X16NAVY09_18_plasma.mzML"	"X16NAVY04_1_plasma.mzML"	"X18NAVY30_3_plasma.mzML"	"X18NAVY32_7_plasma.mzML"	"X348_Plasma_20191118024056.mzML"	"X16NAVY13_20_plasma.mzML"	"X414_Plasma.mzML"	"X18NAVY27_2_plasma.mzML"	"X511_Plasma.mzML"	"X16NAVY04_9_plasma.mzML"	"X17NAVY18_3_plasma.mzML"	"X15NAVY02_15_plasma.mzML"	"X444_Plasma.mzML"	"X18NAVY27_16_plasma.mzML"	"X16NAVY05_16_plasma.mzML"	"X16NAVY13_15_plasma.mzML"	"X509_Plasma.mzML"	"X16NAVY04_18_plasma.mzML"	"X424_Plasma.mzML"	"X390_Plasma.mzML"	"X17NAVY24_11_plasma.mzML"	"X18NAVY32_10_plasma.mzML"	"X18NAVY27_13_plasma.mzML"	"X16NAVY15_1_plasma.mzML"	"X18NAVY30_8_plasma.mzML"	"X17NAVY18_20_plasma.mzML"	"X15NAVY03_6_plasma.mzML"	"X17NAVY25_9_plasma.mzML"	"X16NAVY13_14_plasma.mzML"	"X18NAVY30_5_plasma.mzML"	"X16NAVY09_19_plasma.mzML"	"X362_Plasma_20191118043156.mzML"	"X17NAVY18_9_plasma.mzML"	"X16NAVY13_11_plasma.mzML"	"X17NAVY19_2_plasma.mzML"	"X16NAVY09_1_plasma.mzML"	"X16NAVY04_20_plasma.mzML"	"X17NAVY18_10_plasma.mzML"	"X436_Plasma.mzML"	"X16NAVY15_17_plasma.mzML"	"X17NAVY24_7_plasma.mzML"	"X15NAVY03_11_plasma.mzML"	"X16NAVY05_6_plasma.mzML"	"X16NAVY13_3_plasma.mzML"	"X386_Plasma_20191118054238.mzML"	"X15NAVY02_13_plasma.mzML"	"X17NAVY19_8_plasma.mzML"	"X17NAVY18_4_plasma.mzML"	"X16NAVY09_14_plasma.mzML"	"X17NAVY25_8_plasma.mzML"	"X16NAVY09_17_plasma.mzML"	"X15NAVY02_18_plasma.mzML"	"X482_Plasma.mzML"	"X396_Plasma.mzML"	"X18NAVY32_20_plasma.mzML"	"X17NAVY25_2_plasma.mzML"	"X15NAVY03_15_plasma.mzML"	"X16NAVY15_13_plasma.mzML"	"X17NAVY19_10_plasma.mzML"	"X334_Plasma.mzML"	"X16NAVY05_20_plasma.mzML"	"X17NAVY24_15_plasma.mzML"	"X16NAVY09_16_plasma.mzML"	"X16NAVY04_6_plasma.mzML"	"X16NAVY13_17_plasma.mzML"	"X17NAVY18_19_plasma.mzML"	"X336_Plasma.mzML"	"X515_Plasma.mzML"	"X15NAVY03_10_plasma.mzML"	"X16NAVY04_2_plasma.mzML"	"X16NAVY13_18_plasma.mzML"	"X17NAVY25_4_plasma.mzML"	"X18NAVY32_17_plasma.mzML"	"X16NAVY15_4_plasma.mzML"	"X398_Plasma.mzML"	"X16NAVY05_14_plasma.mzML"	"X16NAVY04_4_plasma.mzML"	"X16NAVY15_19_plasma.mzML"	"X18NAVY32_19_plasma.mzML"	"X16NAVY15_2_plasma.mzML"	"X18NAVY27_15_plasma.mzML"	"X16NAVY05_1_plasma.mzML"	"X18NAVY27_3_plasma.mzML"	"X350_Plasma_20191118025422.mzML"	"X402_Plasma.mzML"	"X15NAVY03_8_plasma.mzML"	"X16NAVY04_8_plasma.mzML"	"X17NAVY18_11_plasma.mzML"	"X16NAVY15_3_plasma.mzML"	"X18NAVY27_9_plasma.mzML"	"X18NAVY27_6_plasma.mzML"	"X15NAVY02_3_plasma.mzML"	"X17NAVY19_7_plasma.mzML"	"X352_Plasma_20191118030748.mzML"	"X15NAVY02_5_plasma.mzML"	"X18NAVY30_9_plasma.mzML"	"X16NAVY04_7_plasma.mzML"	"X17NAVY24_8_plasma.mzML"	"X17NAVY19_5_plasma.mzML"	"X18NAVY30_17_plasma.mzML"	"X16NAVY04_19_plasma.mzML"	"X17NAVY18_15_plasma.mzML"	"X18NAVY30_19_plasma.mzML"	"X17NAVY24_3_plasma.mzML"	"X16NAVY04_5_plasma.mzML"	"X420_Plasma.mzML"	"X370_Plasma.mzML"	"X442_Plasma.mzML"	"X17NAVY18_1_plasma.mzML"	"X378_Plasma.mzML"	"X430_Plasma_20191118060930.mzML"	"X18NAVY27_12_plasma.mzML"	"X324_Plasma.mzML"	"X17NAVY18_18_plasma.mzML"	"X18NAVY32_3_plasma.mzML"	"X418_Plasma.mzML"	"X16NAVY09_4_plasma.mzML"	"X16NAVY13_1_plasma.mzML"
"URSODEOXYCHOLATE"	0	0	870473	2142950	1590819	1745920	353122	377847	1748673	0	1088797	1771334	0	3615869	6092610	2905299	1151590	5831665	1732000	852783	2441750	3412458	1876876	833103	205446	7809232	2294760	9510893	1057973	1548446	938904	304915	5152638	407026	969427	0	556764	190126	593918	107890	271887	772771	1632980	3795545	545503	0	147586	867229	238852	554047	565486	0	1406033	757430	3681108	0	0	135725	0	300139	899576	505553	1193820	6295222	1137522	0	783669	2732737	0	1508526	245975	541138	828865	0	458153	2853256	12563700	902338	1331324	226358	2550360	4190598	155148	161588	826862	808587	1515860	1314744	0	3285362	0	1587243	1143310	2423288	1552590	3107828	545229	312990	3150130	0	5213877	2166364	194648	6948017	3935259	589642	1145912	1853483	0	1194713	6434668	1186570	3063003	225518	0	2128543	0	1053711	392640	1768815	0	0	1475852	762333	751912	295457	758088	823757	230533	1285673	744324	2766864	620298	157365	549441	976380	2887703	679250	288961	2216412	0	357233	0	4983700	1485399	567923	10133613	561011	774919	604348	0	727549	3165329	1366024	1583550	1129829	986609	668435	220265	3617805	109250	5235633	699911	633912	1535316	391593	652429	1126105	450265	8899034	1499080	0	1287377	0	413340	2169780	617109	662152	292811	357748	2428256	961449	668813	478319	1481530	656285	294352	0	2709811	0	205960	489278	3986375	5030523	4030764	3004892	0	1357240	177001	913497	470766	5520075	0	0	534592	0	851896	0	1373521	707149	7221647	1862814	796064	447630	3238424	892243	955356	0	209907	532212	1554041	174968	1337034	1458483	1638046	915286	3117522	585514	1387470	5009992	1231259	884688	213939	1122364	1277802	7544104	1030888	263208	8386209	803080	467113	1264186	4558937	678828	1419810	983469	738616	631518	832055	576547	2660758	275284	546648	936103	0	5846360	343656	442248	0	2535020	3934639	2833921	227203	228358	471076	498864	0	839199	4235330	1508516	0	160062	648940	399046	720150	608122	1851863	161386	161630	993037	768211	756522	2353578	619785	735188	2765890	0	1719861	1873660	1938267	728923	1177467	1293381	408399
"Choldienic acid putative"	0	612278	0	0	0	861646	0	0	505993	0	0	1318330	0	1611650	3414880	3815920	0	0	0	390115	0	1528950	0	0	0	872826	0	0	0	274715	0	0	952336	0	410780	0	0	0	0	0	0	0	271647	0	0	0	0	0	0	0	229931	0	0	0	0	0	0	0	0	0	0	87802	919432	1133290	0	0	0	0	0	0	0	0	0	0	0	3893810	0	0	0	0	645690	0	0	0	811529	0	144567	0	0	0	0	0	1995490	0	769342	0	0	0	230672	0	463168	0	0	1070220	407079	0	0	0	0	0	0	0	6685610	0	0	0	0	0	215532	0	0	0	0	0	0	0	0	481120	0	0	203130	0	195796	0	177226	0	0	442938	0	472515	0	0	0	0	0	0	0	254873	250297	0	0	0	585070	0	0	0	0	0	0	0	0	227926	0	331391	601471	0	0	0	0	1888410	790887	0	0	0	0	0	0	0	0	0	0	244941	0	0	1604880	455992	0	0	0	0	0	0	783045	0	589365	624309	0	283429	0	0	0	0	0	0	0	0	0	0	0	0	0	236969	0	0	1630860	0	329501	454611	0	0	0	0	0	0	867090	0	0	0	1409630	0	357904	0	289180	0	516386	599540	0	0	0	348207	0	0	0	0	0	0	0	0	205560	0	0	362885	0	233525	0	0	0	0	0	1518660	0	187751	0	0	0	0	0	0	0	0	0	0	0	241775	0	0	0	0	0	0	0	0	0	0	0	1000740	0	217620	0	0	489948	680524	638299	0
"glycoursodeoxycholic acid"	1178665	520943	301317	1626066	718278	414075	357735	551712	1851355	1811040	436736	2231418	748167	3880987	1203652	520609	2309280	2383741	1515300	3431180	970143	5492311	164850	392729	265564	1651564	603331	3252140	1264321	4331730	834390	2042708	1889283	0	991624	402605	416844	469173	660110	1317830	384306	2014928	1369049	1328713	487957	359627	1101570	1314093	827698	251404	419942	1671708	1092610	381538	1525334	690639	1324746	686832	0	572331	2409312	411833	241935	3551130	1015943	2626350	716725	1494921	1814466	1698780	1679270	1519359	1122220	931384	0	2883502	1435153	1478699	2922517	693705	514196	281773	843672	444860	295297	251195	2215480	205706	670156	0	0	2776240	2060670	4659655	631985	2249940	200327	2795185	98785.7	645990	1187180	3803450	108620	775302	736587	875571	388511	1692400	383829	256115	1802080	7778430	1607181	4509015	381964	0	929881	603029	1242889	1307436	282389	1063846	811836	747961	1095698	1221110	161055	2645190	101036	2389475	228195	1198113	191619	0	206822	2424779	4075910	177163	0	3266920	374158	558599	0	298795	4282683	442037	2147856	2447120	308993	822660	633905	0	1614294	1166864	5270500	4335690	720407	0	865425	2422480	0	344766	3621707	874184	1777162	1719820	420475	559526	842453	637451	1599640	2534770	899098	277245	907204	1569664	2430825	399072	198583	573846	839547	563324	909591	431629	908020	1586111	577410	4527100	2830185	13092500	396129	1429477	4570925	2300370	1814540	3119940	309763	6563400	478228	845037	248472	0	2298553	436987	854970	605428	3119840	1345940	134242	377658	473273	2008586	848487	908664	2959316	1642509	1324380	917256	0	1583926	963479	367917	186600	300520	832374	329031	4089764	499764	1442684	1476868	1217310	725316	9001900	3395157	1256630	2321203	544095	1587500	1753464	1350978	2069168	214514	669269	1524940	1479220	2700830	488950	0	378882	2597850	1886268	791927	2975948	595424	2002280	5426637	312849	1594630	2230420	731109	2135130	1573834	388338	694828	1262421	644210	843334	205231	3461030	2499100	614977	2590830	1409262	758230	697765	3887663	710100	682771	418536	5022240	1395470	942987	807773	2876298	2057970	1883107	1253600	1092430	1072030	240327	294827	1366040	1795113	1680650
"Spectral Match to Cholic acid from NIST14"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	932961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1660240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1112710	0	0	0	0	0	2561720	0	0	0	0	0	0	0	0	0	0	489904	0	0	0	0	4036790	0	0	0	0	0	0	0	0	0	0	0	0	3117200	0	938947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2456270	0	0	0	0	0	775054	1820870	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5216370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2018780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glycocholic acid"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	214538	0	0	0	0	345904	0	0	0	0	0	0	254351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152629	0	0	0	0	0	430410	0	0	766503	0	266157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	311839	0	420850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94000.6	0	0	0	0	469647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	413905	0	0	124408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	448275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149019	425768	0	0	0	0	0	0	0	308561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	209123	0	0	0	0	0	0	0	0	0	0	209931	0	0	0	0	0	0	0	0	0	0	0	609937	0	0	0	0	0	0	143593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GLYCOCHOLATE"	0	0	0	2284750	0	0	0	0	0	0	0	628899	374340	0	887608	0	384238	0	0	501316	0	0	0	0	0	0	0	0	619323	0	0	0	0	0	0	0	0	0	284540	0	0	710539	0	0	0	0	3637240	198189	0	177031	3052780	0	767578	0	0	2740850	1458000	0	0	0	0	632710	0	0	828762	0	183689	0	736700	942912	0	0	2075970	0	0	0	6401000	0	0	0	0	0	0	1544410	0	0	0	0	381130	0	0	962198	2017350	276601	0	0	0	0	0	0	0	178203	0	0	0	0	0	1512600	0	2777630	3298250	604522	0	0	837642	0	0	0	526932	0	0	0	0	0	1102180	0	0	891691	0	0	0	0	0	519596	511095	0	2131340	0	0	0	0	0	0	0	667080	0	0	1194500	0	0	0	0	1319650	508381	1735740	17408700	0	0	466396	613883	0	0	0	0	0	0	696600	349872	303896	0	0	0	0	468237	354361	3110580	374332	0	0	0	0	0	476656	0	1390470	750978	1519330	0	679906	0	0	0	925675	1701480	0	782405	0	0	0	0	0	508899	326677	0	0	0	781996	757831	159456	0	0	0	573862	1306010	3797850	547168	0	0	0	1267440	0	0	0	0	0	0	642921	0	0	0	235949	412962	0	2153270	0	1408770	242819	0	0	0	4893270	0	0	0	1685890	859215	526439	0	0	0	2825470	1210350	130285	0	0	0	0	510564	0	0	0	0	0	1137640	415707	0	0	0	0	950016	0	0	0	142286	0	0	0	0	0	0	1040100	3281240	0	797072	606119	565109	825216	0	857551	0	0	1014550	0	301317
"7alpha-hydroxy-3-oxo-4-cholestenoic acid"	0	0	0	0	462907	0	0	0	634091	1233700	732208	1203580	0	0	2563930	0	0	764380	0	0	984456	0	0	0	0	1630580	0	0	0	215720	0	0	880048	0	1013880	0	0	401770	0	0	469450	0	0	953307	0	0	182521	0	863759	527636	672940	0	856865	415016	3644710	0	0	0	0	0	0	702754	0	1077380	270401	1011540	757719	2950380	0	849650	0	749001	789480	233359	0	678977	613263	0	0	0	219324	0	0	0	0	538702	435710	0	429900	1041790	1006650	314824	1431090	0	0	286421	0	0	0	183564	0	0	0	0	632497	0	704815	225388	285337	0	0	0	716814	0	0	1354860	0	0	0	1224880	226836	0	243970	572556	0	0	666523	0	0	872729	1147930	0	0	0	0	0	0	282197	0	0	172348	0	343740	0	826482	0	628931	0	0	899111	0	805955	891155	0	0	0	882275	0	0	454479	0	0	0	0	852763	0	0	0	0	1863430	287538	0	0	203742	0	1026170	760967	0	0	0	1647990	0	2405090	0	785472	0	0	0	2527670	0	209082	1016600	1677180	0	1051780	899241	284569	381996	0	0	204430	0	0	0	0	0	0	750278	0	0	0	0	0	320938	1230280	0	597182	183801	227845	586383	0	0	636618	0	710446	622031	434985	0	0	2506460	0	0	0	510463	466061	855678	0	0	572846	0	0	0	1121250	0	0	0	942063	596524	0	0	1785530	0	0	0	0	0	0	0	338792	1575050	1919540	0	0	0	0	0	171968	0	305935	921505	0	173774	0	0	321572	0	0	0	0	696496	0	662951	979526	859283	261991	627982	741697	0	1995640	0	0	1581770	0	0
"GLYCOCHENODEOXYCHOLATE"	3986689	2457030	1734260	7624150	1888810	2667230	0	2030700	538455	0	402605	1134470	313105	5228080	1112890	1617500	350351	2095720	1052890	274382	873656	1491930	390009	0	0	1525825	1666515	703401	0	8467910	0	1891520	558051	1258580	1463810	995518	558313	0	0	871032	0	105348	5348580	1663360	0	1697160	2189080	424998	517212	783628	4485910	0	1558100	0	663584	168881	2926650	0	0	0	3096584	1521560	0	1507697	1243120	475853	715476	2754660	2648770	1490310	0	217133	2254640	417736	3702713	0	1295820	0	2938287	1115390	0	0	1182270	1377050	996670	0	2399550	2428054	0	0	0	224591	2557073	977872	430706	1001540	1646660	2243190	1189990	2312089	248549	1104340	0	564830	0	625753	0	352543	0	3464334	1515970	1609260	1745133	1946286	1383520	979717	0	2732970	1077490	0	451567	1338710	0	0	2132672	588709	0	1153180	0	1112500	6246430	371649	534251	1496590	0	289029	0	0	1833385	1580740	0	1718710	0	976962	0	1124680	1753190	3249176	0	1670939	886291	0	2169815	0	109399	7679507	1071970	0	376294	0	1161320	547153	2519400	1821110	1241050	2781443	847205	428125	0	0	0	2272580	0	0	960226	3794490	0	0	8088315	4326808	0	866718	1272210	651373	1634380	0	3216600	1445710	4761580	374734	1179750	628425	3050830	253147	1513225	1774740	0	2131830	0	0	0	0	325461	967708	346220	1641084	2574510	0	0	337587	1355380	1497557	0	1216310	15089310	3006280	567530	0	0	364420	718690	1308760	234860	345362	1321470	0	795679	0	974308	2056884	2111190	1254720	0	2700033	0	2939540	364498	0	1071140	5413570	9641200	0	2322560	0	8700100	531951	0	951236	3455027	0	3275590	1709834	1587920	1279905	2668740	321187	2267250	0	3429220	0	813682	437756	0	2125611	1034060	1804712	0	1069700	2039250	1088310	949794	1487760	153924	768178	0	8077100	819027	0	1355000	745248	0	2209390	5671480	2214790	433757	3587230	843560	1705800	0	797661	2425580	2717800	1321400	369888
"GLYCOCHOLATE"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1638240	0	0	0	0	0	972507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	895261	0	0	0	0	0	0	0	0	0	0	0	500383	0	0	0	799078	0	0	0	1274830	0	0	0	0	0	0	0	0	0	1088750	0	0	0	0	0	620040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1415140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2151800	0	0	0	0	0	0	0	0	0	0	0	0	945409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1592560	869574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	997728	0	872624	0	0	0	667250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1313340	0	0	0
"glycoursodeoxycholic acid"	0	0	0	451823	505206	0	0	0	0	0	0	0	788950	0	0	0	0	833765	0	408240	0	686753	310149	187964	0	0	0	1047000	669976	0	0	0	0	0	0	0	0	0	353035	0	0	359869	0	0	0	0	0	577415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2072770	0	0	0	0	0	0	0	0	0	778723	0	0	1391440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	326023	763163	874479	463995	1023640	0	0	0	0	0	339941	0	632471	0	535717	393537	515165	0	0	0	717078	0	0	0	1880670	0	632839	0	0	0	340112	0	273122	0	155142	316914	0	0	0	0	0	721119	0	0	0	0	564707	0	0	330792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	389883	0	0	0	0	0	0	0	603937	0	0	0	0	160053	0	0	825384	275524	0	0	0	0	588378	0	0	0	0	385065	0	1019120	0	0	726390	741960	605168	0	781563	0	0	0	0	0	0	0	0	560049	0	0	0	415771	0	0	0	342542	586670	660484	0	835142	0	0	477956	0	0	0	397109	0	0	232293	0	0	0	0	0	0	0	0	0	367605	400460	0	502935	475530	0	883459	0	0	0	497564	0	0	0	761324	403391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	795449	0	0	0	0	0	657559	0	1056620	1199340	0	305574	670149	0	0	0	0	0	0	0	261700
