Group,AA,GLY,OXO,SUL,TAU,tetra,UNC
X15NAVY03_19_plasma.mzML_1,0,2977973,0,0,3455300,0,0
X15NAVY02_20_plasma.mzML_1,0,2035577,0,0,0,0,870473
X16NAVY13_13_plasma.mzML_1,0,11986789,0,0,5336075,0,2142950
X16NAVY13_16_plasma.mzML_1,0,3112294,0,0,0,0,1590819
X18NAVY32_12_plasma.mzML_1,0,3081305,0,0,1850560,0,1745920
X15NAVY02_11_plasma.mzML_1,0,357735,0,0,0,0,353122
X17NAVY18_13_plasma.mzML_1,0,2582412,0,0,0,0,377847
X410_Plasma.mzML_1,0,2389810,0,0,0,0,1748673
X332_Plasma.mzML_1,0,1811040,0,0,0,0,0
X17NAVY19_4_plasma.mzML_1,0,839341,0,0,0,0,1088797
X374_Plasma.mzML_1,0,3994787,0,0,0,0,1771334
X17NAVY24_2_plasma.mzML_1,0,2224562,0,0,1077372,0,0
X16NAVY15_8_plasma.mzML_1,0,9109067,0,0,1836457,0,3615869
X384_Plasma.mzML_1,0,3204150,0,0,0,0,7958532
X18NAVY32_15_plasma.mzML_1,0,2138109,0,0,2675310,0,2905299
X18NAVY32_2_plasma.mzML_1,0,3043869,0,0,0,0,1151590
X404_Plasma.mzML_1,0,5313226,0,0,0,0,5831665
X18NAVY30_1_plasma.mzML_1,0,2568190,0,0,0,0,1732000
X16NAVY04_10_plasma.mzML_1,0,4615118,0,0,1259508,0,852783
X485_Plasma.mzML_1,0,1843799,0,0,0,0,2441750
X16NAVY13_10_plasma.mzML_1,0,7670994,0,0,0,0,3412458
X17NAVY18_8_plasma.mzML_1,0,1294084,0,0,0,0,1876876
X17NAVY18_17_plasma.mzML_1,0,580693,0,0,0,0,833103
X18NAVY30_11_plasma.mzML_1,0,265564,0,0,0,0,205446
X519_Plasma.mzML_1,0,3177389,0,0,0,0,7809232
X16NAVY15_16_plasma.mzML_1,0,2269846,0,0,0,0,2294760
X17NAVY24_10_plasma.mzML_1,0,5694349,0,0,4392008,0,9510893
X16NAVY13_19_plasma.mzML_1,0,2553620,0,0,0,0,1057973
X18NAVY32_5_plasma.mzML_1,0,14437880,0,0,5004370,0,1548446
X16NAVY13_4_plasma.mzML_1,0,834390,0,0,0,0,938904
X16NAVY15_9_plasma.mzML_1,0,3934228,0,0,0,0,304915
X340_Plasma.mzML_1,0,2447334,0,0,0,0,8473118
X17NAVY25_5_plasma.mzML_1,0,1258580,0,0,0,0,407026
X18NAVY27_10_plasma.mzML_1,0,2964136,0,0,0,0,969427
X18NAVY32_1_plasma.mzML_1,0,2370630,0,0,1055510,0,0
X17NAVY19_9_plasma.mzML_1,0,975157,0,0,0,0,556764
X16NAVY04_11_plasma.mzML_1,0,469173,0,0,0,0,190126
X17NAVY18_5_plasma.mzML_1,0,1297685,0,0,0,0,593918
X15NAVY02_9_plasma.mzML_1,0,2188862,0,0,0,0,107890
X16NAVY09_11_plasma.mzML_1,0,384306,0,0,0,0,271887
X16NAVY09_20_plasma.mzML_1,0,3190684,0,0,865194,0,772771
X15NAVY03_14_plasma.mzML_1,0,6717629,0,0,6540001,0,1632980
X392_Plasma.mzML_1,0,2992073,0,0,0,0,3795545
X17NAVY18_14_plasma.mzML_1,0,487957,0,0,0,0,545503
X18NAVY30_15_plasma.mzML_1,0,2056787,0,0,0,0,0
X15NAVY03_1_plasma.mzML_1,0,6927890,0,0,1978359,0,147586
X16NAVY13_8_plasma.mzML_1,0,2514695,0,0,0,0,867229
X16NAVY09_9_plasma.mzML_1,0,1344910,0,0,0,0,238852
X17NAVY19_3_plasma.mzML_1,0,1212063,0,0,0,0,554047
X18NAVY30_13_plasma.mzML_1,0,7958632,0,0,1465515,0,565486
X17NAVY25_1_plasma.mzML_1,0,1976966,0,0,0,0,0
X344_Plasma.mzML_1,0,3418288,0,0,0,0,1406033
X15NAVY02_8_plasma.mzML_1,0,381538,0,0,0,0,757430
X406_Plasma.mzML_1,0,2188918,0,0,0,0,3681108
X15NAVY03_16_plasma.mzML_1,0,3600370,0,0,12975275,0,0
X15NAVY02_16_plasma.mzML_1,0,6604657,0,0,1182018,0,0
X15NAVY02_4_plasma.mzML_1,0,1547652,0,0,0,0,135725
X16NAVY05_3_plasma.mzML_1,0,0,0,0,0,0,0
X17NAVY24_14_plasma.mzML_1,0,572331,0,0,0,0,300139
X16NAVY05_19_plasma.mzML_1,0,7038902,0,0,0,0,899576
X18NAVY32_11_plasma.mzML_1,0,2566103,0,0,0,0,505553
X15NAVY02_2_plasma.mzML_1,0,774249,0,0,0,0,1193820
X473_Plasma.mzML_1,0,7131597,0,0,0,0,6295222
X16NAVY09_12_plasma.mzML_1,0,3087825,0,0,0,0,1137522
X426_Plasma.mzML_1,0,3102203,0,0,0,0,0
X18NAVY27_14_plasma.mzML_1,0,1615890,0,0,0,0,783669
X422_Plasma.mzML_1,0,4249581,0,0,0,0,2732737
X16NAVY15_14_plasma.mzML_1,0,5700319,0,0,0,0,0
X380_Plasma.mzML_1,0,4132002,0,0,0,0,1508526
X18NAVY27_19_plasma.mzML_1,0,1679270,0,0,1754505,0,245975
X17NAVY24_13_plasma.mzML_1,0,1736492,0,0,0,0,541138
X342_Plasma.mzML_1,0,6874690,0,0,0,0,828865
X17NAVY24_19_plasma.mzML_1,0,2127843,0,0,1698050,0,0
X17NAVY25_7_plasma.mzML_1,0,3702713,0,0,1365582,0,458153
X479_Plasma.mzML_1,0,2883502,0,0,0,0,5078676
X517_Plasma.mzML_1,0,13446423,0,0,2324247,0,12563700
X18NAVY30_18_plasma.mzML_1,0,1478699,0,0,0,0,902338
X16NAVY15_6_plasma.mzML_1,0,5860804,0,0,0,0,1331324
X17NAVY25_3_plasma.mzML_1,0,1809095,0,0,0,0,226358
X18NAVY27_1_plasma.mzML_1,0,514196,0,0,0,0,2550360
X16NAVY05_12_plasma.mzML_1,0,281773,0,0,0,0,9314038
X15NAVY02_19_plasma.mzML_1,0,2025942,0,0,0,0,155148
X15NAVY02_17_plasma.mzML_1,0,3366320,0,0,0,0,161588
X18NAVY30_14_plasma.mzML_1,0,1291967,0,0,0,0,826862
X18NAVY27_4_plasma.mzML_1,0,251195,0,0,0,0,808587
X15NAVY03_18_plasma.mzML_1,0,5703780,0,0,6422115,0,1515860
X18NAVY30_2_plasma.mzML_1,0,2633760,0,0,0,0,1314744
X16NAVY05_9_plasma.mzML_1,0,1051286,0,0,0,0,0
X368_Plasma_20191118051546.mzML_1,0,0,0,0,0,0,3285362
X360_Plasma_20191118041830.mzML_1,0,0,0,0,0,0,0
X16NAVY04_15_plasma.mzML_1,0,4289052,0,0,0,0,1587243
X416_Plasma.mzML_1,0,8728803,0,0,0,0,2123118
X17NAVY24_17_plasma.mzML_1,0,6788607,0,0,2326235,0,2423288
X17NAVY24_16_plasma.mzML_1,0,1526686,0,0,1797900,0,1552590
X17NAVY24_6_plasma.mzML_1,0,4275120,0,0,0,0,3107828
X18NAVY27_5_plasma.mzML_1,0,2470665,0,0,0,0,545229
X18NAVY30_7_plasma.mzML_1,0,5038375,0,0,4784824,0,8386570
X16NAVY15_18_plasma.mzML_1,512889,2130476,0,0,0,0,3150130
X18NAVY30_6_plasma.mzML_1,0,2958079,0,0,0,0,0
X18NAVY27_20_plasma.mzML_1,0,1435729,0,0,0,0,5213877
X16NAVY04_12_plasma.mzML_1,0,5425934,0,0,1015710,0,2166364
X15NAVY02_14_plasma.mzML_1,0,108620,0,0,0,0,194648
X17NAVY24_20_plasma.mzML_1,0,1972603,0,0,2514744,0,6948017
X17NAVY19_6_plasma.mzML_1,0,736587,0,0,0,0,3935259
X17NAVY24_4_plasma.mzML_1,0,2037041,0,0,0,0,589642
X17NAVY18_2_plasma.mzML_1,0,782048,0,0,0,0,1145912
X16NAVY04_17_plasma.mzML_1,0,4072708,0,0,1003281,0,1853483
X16NAVY05_4_plasma.mzML_1,0,383829,0,0,0,0,0
X15NAVY03_20_plasma.mzML_1,0,6498079,0,0,2789163,0,1194713
X18NAVY32_6_plasma.mzML_1,0,6616300,0,0,5203705,0,12669068
X16NAVY13_7_plasma.mzML_1,0,10709290,0,0,6907750,0,1186570
X434_Plasma.mzML_1,0,3352314,0,0,0,0,4940897
X18NAVY30_10_plasma.mzML_1,0,6455301,0,0,0,0,225518
X16NAVY05_2_plasma.mzML_1,0,2603126,0,0,0,0,0
X502_Plasma.mzML_1,0,2860387,0,0,0,0,2128543
X16NAVY15_10_plasma.mzML_1,0,929881,0,0,0,0,0
X17NAVY18_7_plasma.mzML_1,0,4156839,0,0,1134897,0,1053711
X16NAVY15_11_plasma.mzML_1,0,2847311,0,0,0,0,392640
X330_Plasma.mzML_1,0,1307436,0,0,0,0,1768815
X16NAVY05_7_plasma.mzML_1,0,733956,0,0,601377,0,0
X16NAVY13_6_plasma.mzML_1,0,2742668,0,0,1268148,0,0
X16NAVY04_3_plasma.mzML_1,0,1751130,0,0,351240,0,1475852
X16NAVY09_15_plasma.mzML_1,0,1021083,0,0,0,0,762333
X16NAVY05_11_plasma.mzML_1,0,4330550,0,0,0,0,751912
X17NAVY24_5_plasma.mzML_1,0,1964961,0,0,0,0,295457
X16NAVY13_2_plasma.mzML_1,0,477969,0,0,0,0,758088
X15NAVY02_7_plasma.mzML_1,0,4690061,0,0,0,0,823757
X16NAVY05_5_plasma.mzML_1,0,101036,0,0,0,0,230533
X504_Plasma.mzML_1,0,3501975,0,0,0,0,1285673
X15NAVY03_9_plasma.mzML_1,0,7889765,0,0,3946417,0,744324
X17NAVY18_6_plasma.mzML_1,0,1569762,0,0,0,0,2766864
X17NAVY24_9_plasma.mzML_1,0,1446989,0,0,0,0,620298
X18NAVY32_4_plasma.mzML_1,0,2016186,0,0,0,0,157365
X16NAVY05_10_plasma.mzML_1,0,717917,0,0,0,0,549441
X16NAVY04_16_plasma.mzML_1,0,2713808,0,0,0,0,976380
X16NAVY04_13_plasma.mzML_1,0,6207250,0,0,3199844,0,2887703
X17NAVY24_18_plasma.mzML_1,0,741870,0,0,0,0,679250
X18NAVY27_7_plasma.mzML_1,0,1833385,0,0,0,0,288961
X15NAVY03_4_plasma.mzML_1,0,4847660,0,0,2913653,0,2216412
X17NAVY24_12_plasma.mzML_1,0,704950,0,0,0,0,0
X16NAVY15_15_plasma.mzML_1,0,2277309,0,0,0,0,357233
X18NAVY27_11_plasma.mzML_1,0,0,0,0,0,0,0
X18NAVY30_12_plasma.mzML_1,0,2103567,0,0,0,0,4983700
X16NAVY09_3_plasma.mzML_1,0,4949763,0,0,926091,0,1485399
X17NAVY19_1_plasma.mzML_1,0,1566717,0,0,0,0,567923
X18NAVY32_16_plasma.mzML_1,0,4149862,0,0,2500599,0,15046153
X16NAVY15_7_plasma.mzML_1,1639882,6890796,0,0,1359441,0,561011
X16NAVY09_8_plasma.mzML_1,0,308993,0,0,0,0,774919
X18NAVY32_14_plasma.mzML_1,0,2493599,0,0,927850,0,604348
X15NAVY02_12_plasma.mzML_1,0,1520196,0,0,0,0,0
X388_Plasma.mzML_1,0,0,0,0,0,0,727549
X408_Plasma_20191118055604.mzML_1,0,5103759,0,0,0,0,4715437
X16NAVY05_18_plasma.mzML_1,0,1675245,0,0,0,0,5007764
X15NAVY03_3_plasma.mzML_1,0,7115639,0,0,8304110,0,1583550
X15NAVY03_13_plasma.mzML_1,0,29423897,0,0,13259145,0,1129829
X328_Plasma.mzML_1,0,1792377,0,0,0,0,986609
X17NAVY24_1_plasma.mzML_1,0,0,0,0,0,0,668435
X16NAVY05_17_plasma.mzML_1,0,1708115,0,0,554865,0,220265
X16NAVY09_10_plasma.mzML_1,0,3426246,0,0,1704303,0,3617805
X15NAVY02_6_plasma.mzML_1,0,1161320,0,0,0,0,109250
X18NAVY27_18_plasma.mzML_1,0,891919,0,0,0,0,5235633
X16NAVY15_20_plasma.mzML_1,0,7037657,0,0,0,0,699911
X15NAVY03_2_plasma.mzML_1,0,2695294,0,0,1127403,0,633912
X356_Plasma_20191118035138.mzML_1,0,3018212,0,0,0,0,1535316
X18NAVY32_13_plasma.mzML_1,0,4501263,0,0,3078415,0,391593
X16NAVY05_8_plasma.mzML_1,0,1964280,0,0,0,0,652429
X16NAVY13_9_plasma.mzML_1,0,1941460,0,0,2849820,0,1126105
X16NAVY05_13_plasma.mzML_1,0,1146349,0,0,0,0,450265
X498_Plasma.mzML_1,0,637451,0,0,0,0,8899034
X18NAVY27_8_plasma.mzML_1,0,1599640,0,0,0,0,1499080
X18NAVY30_16_plasma.mzML_1,0,4807350,0,0,0,0,0
X17NAVY18_12_plasma.mzML_1,0,1059151,0,0,0,0,1287377
X15NAVY02_1_plasma.mzML_1,0,745482,0,0,0,0,0
X16NAVY15_5_plasma.mzML_1,0,2221791,0,0,0,0,413340
X376_Plasma.mzML_1,0,14391578,0,0,2050839,0,2169780
X16NAVY09_18_plasma.mzML_1,0,3080681,0,0,0,0,617109
X16NAVY04_1_plasma.mzML_1,0,399072,0,0,0,0,662152
X18NAVY30_3_plasma.mzML_1,0,8286898,0,0,535170,0,292811
X18NAVY32_7_plasma.mzML_1,0,4900654,0,0,6126860,0,357748
X348_Plasma_20191118024056.mzML_1,0,839547,0,0,0,0,2428256
X16NAVY13_20_plasma.mzML_1,0,2018420,0,0,0,0,961449
X414_Plasma.mzML_1,0,2658457,0,0,0,0,668813
X18NAVY27_2_plasma.mzML_1,0,1083002,0,0,0,0,478319
X511_Plasma.mzML_1,0,3932870,0,0,2556036,0,1481530
X16NAVY04_9_plasma.mzML_1,0,2337089,0,0,0,0,656285
X17NAVY18_3_plasma.mzML_1,0,5698405,0,0,0,0,294352
X15NAVY02_15_plasma.mzML_1,0,5972810,0,0,0,0,0
X444_Plasma.mzML_1,0,10236200,0,0,3132750,0,2709811
X18NAVY27_16_plasma.mzML_1,0,13467234,0,0,1555128,0,0
X16NAVY05_16_plasma.mzML_1,3114060,1873917,0,0,0,0,205960
X16NAVY13_15_plasma.mzML_1,0,3635828,0,0,844098,0,489278
X509_Plasma.mzML_1,0,9289390,0,0,0,0,3986375
X16NAVY04_18_plasma.mzML_1,0,4860165,0,0,1106901,0,5030523
X424_Plasma.mzML_1,0,3327765,0,0,0,0,4030764
X390_Plasma.mzML_1,0,6458648,0,0,2931792,0,3004892
X17NAVY24_11_plasma.mzML_1,0,309763,0,0,0,0,0
X18NAVY32_10_plasma.mzML_1,0,8695230,0,0,5815960,0,1357240
X18NAVY27_13_plasma.mzML_1,0,478228,0,0,2061006,0,177001
X16NAVY15_1_plasma.mzML_1,0,1462159,0,0,0,0,913497
X18NAVY30_8_plasma.mzML_1,0,248472,0,0,0,0,470766
X17NAVY18_20_plasma.mzML_1,0,508899,0,0,0,0,5520075
X15NAVY03_6_plasma.mzML_1,0,2950691,0,0,2742645,0,0
X17NAVY25_9_plasma.mzML_1,0,1404695,0,0,0,0,0
X16NAVY13_14_plasma.mzML_1,0,1761239,0,0,0,0,534592
X18NAVY30_5_plasma.mzML_1,0,2246512,0,0,0,0,0
X16NAVY09_19_plasma.mzML_1,0,6476346,0,0,1086210,0,851896
X362_Plasma_20191118043156.mzML_1,0,2103771,0,0,0,0,0
X17NAVY18_9_plasma.mzML_1,0,709469,0,0,0,0,1373521
X16NAVY13_11_plasma.mzML_1,0,715245,0,0,0,0,707149
X17NAVY19_2_plasma.mzML_1,0,1828653,0,0,1727996,0,7221647
X16NAVY09_1_plasma.mzML_1,0,3506143,0,0,0,0,1862814
X16NAVY04_20_plasma.mzML_1,0,1764891,0,0,1224783,0,796064
X17NAVY18_10_plasma.mzML_1,0,4017654,0,0,0,0,10880370
X436_Plasma.mzML_1,0,25820800,0,0,29527790,0,3238424
X16NAVY15_17_plasma.mzML_1,0,6065531,0,0,2004913,0,892243
X17NAVY24_7_plasma.mzML_1,0,3148462,0,0,869990,0,955356
X15NAVY03_11_plasma.mzML_1,0,917256,0,0,0,0,0
X16NAVY05_6_plasma.mzML_1,0,0,0,0,0,0,209907
X16NAVY13_3_plasma.mzML_1,0,3693742,0,0,6291905,0,532212
X386_Plasma_20191118054238.mzML_1,0,1682169,0,0,0,0,1554041
X15NAVY02_13_plasma.mzML_1,0,1676677,0,0,775827,0,174968
X17NAVY19_8_plasma.mzML_1,0,421460,0,0,0,0,1337034
X17NAVY18_4_plasma.mzML_1,0,1042991,0,0,0,0,1458483
X16NAVY09_14_plasma.mzML_1,0,2153844,0,0,1437150,0,1638046
X17NAVY25_8_plasma.mzML_1,0,329031,0,0,0,0,915286
X16NAVY09_17_plasma.mzML_1,0,5760657,0,0,3878682,0,3117522
X15NAVY02_18_plasma.mzML_1,0,499764,0,0,0,0,585514
X482_Plasma.mzML_1,0,2416992,0,0,0,0,1387470
X396_Plasma.mzML_1,0,3533752,0,0,0,0,5009992
X18NAVY32_20_plasma.mzML_1,0,3564449,0,0,2002330,0,1231259
X17NAVY25_2_plasma.mzML_1,0,2392998,0,0,0,0,884688
X15NAVY03_15_plasma.mzML_1,0,9001900,0,0,2704196,0,213939
X16NAVY15_13_plasma.mzML_1,0,8248460,0,0,0,0,1122364
X17NAVY19_10_plasma.mzML_1,0,1256630,0,0,759246,0,1277802
X334_Plasma.mzML_1,0,6669513,0,0,0,0,11581664
X16NAVY05_20_plasma.mzML_1,0,1519017,0,0,0,0,1030888
X17NAVY24_15_plasma.mzML_1,0,1987960,0,0,0,0,263208
X16NAVY09_16_plasma.mzML_1,0,2824604,0,0,0,0,8386209
X16NAVY04_6_plasma.mzML_1,0,7267483,0,0,4115522,0,803080
X16NAVY13_17_plasma.mzML_1,0,17079168,0,0,6247500,0,467113
X17NAVY18_19_plasma.mzML_1,0,214514,0,0,0,0,1264186
X336_Plasma.mzML_1,0,3875288,0,0,0,0,4558937
X515_Plasma.mzML_1,0,1524940,0,0,0,0,678828
X15NAVY03_10_plasma.mzML_1,0,11865210,0,0,8147910,0,1419810
X16NAVY04_2_plasma.mzML_1,0,4091996,0,0,3622071,0,983469
X16NAVY13_18_plasma.mzML_1,0,1512953,0,0,0,0,738616
X17NAVY25_4_plasma.mzML_1,0,1369482,0,0,0,0,631518
X18NAVY32_17_plasma.mzML_1,0,4831637,0,0,2540446,0,832055
X16NAVY15_4_plasma.mzML_1,0,2597850,0,0,0,0,576547
X398_Plasma.mzML_1,0,10462589,0,0,2345307,0,2660758
X16NAVY05_14_plasma.mzML_1,0,4115502,0,0,0,0,275284
X16NAVY04_4_plasma.mzML_1,0,4694153,0,0,1124916,0,546648
X16NAVY15_19_plasma.mzML_1,601209,1875329,0,0,0,0,936103
X18NAVY32_19_plasma.mzML_1,0,5338270,0,0,1231750,0,0
X16NAVY15_2_plasma.mzML_1,0,5747824,0,0,1142478,0,5846360
X18NAVY27_15_plasma.mzML_1,0,2580099,0,0,0,0,343656
X16NAVY05_1_plasma.mzML_1,0,2105194,0,0,0,0,442248
X18NAVY27_3_plasma.mzML_1,0,6079502,0,0,0,0,0
X350_Plasma_20191118025422.mzML_1,0,731109,0,0,0,0,2535020
X402_Plasma.mzML_1,0,2948812,0,0,0,0,3934639
X15NAVY03_8_plasma.mzML_1,0,2011590,0,0,3646635,0,2833921
X16NAVY04_8_plasma.mzML_1,0,388338,0,0,0,0,227203
X17NAVY18_11_plasma.mzML_1,0,3958079,0,0,0,0,228358
X16NAVY15_3_plasma.mzML_1,0,2712188,0,0,0,0,471076
X18NAVY27_9_plasma.mzML_1,0,2448922,0,0,0,0,498864
X18NAVY27_6_plasma.mzML_1,0,843334,0,0,0,0,0
X15NAVY02_3_plasma.mzML_1,0,1274931,0,0,0,0,839199
X17NAVY19_7_plasma.mzML_1,0,5500280,0,0,0,0,4235330
X352_Plasma_20191118030748.mzML_1,0,4537426,0,0,0,0,1508516
X15NAVY02_5_plasma.mzML_1,0,2784645,0,0,0,0,0
X18NAVY30_9_plasma.mzML_1,0,4078590,0,0,0,0,160062
X16NAVY04_7_plasma.mzML_1,0,1563186,0,0,0,0,648940
X17NAVY24_8_plasma.mzML_1,0,2464143,0,0,824904,0,399046
X17NAVY19_5_plasma.mzML_1,0,697765,0,0,0,0,720150
X18NAVY30_17_plasma.mzML_1,0,11964763,0,0,1751355,0,608122
X16NAVY04_19_plasma.mzML_1,0,1529127,0,0,0,0,1851863
X17NAVY18_15_plasma.mzML_1,0,969957,0,0,0,0,161386
X18NAVY30_19_plasma.mzML_1,0,1773536,0,0,0,0,161630
X17NAVY24_3_plasma.mzML_1,0,6425047,0,0,0,0,993037
X16NAVY04_5_plasma.mzML_1,0,2435570,0,0,0,0,768211
X420_Plasma.mzML_1,0,8422357,0,0,0,0,756522
X370_Plasma.mzML_1,0,7678593,0,0,0,0,2353578
X442_Plasma.mzML_1,0,5888160,0,0,0,0,619785
X17NAVY18_1_plasma.mzML_1,0,3403420,0,0,0,0,735188
X378_Plasma.mzML_1,0,6705595,0,0,0,0,2765890
X430_Plasma_20191118060930.mzML_1,0,2922376,0,0,0,0,0
X18NAVY27_12_plasma.mzML_1,0,2798230,0,0,0,0,1719861
X324_Plasma.mzML_1,0,2575065,0,0,0,0,1873660
X17NAVY18_18_plasma.mzML_1,0,1037988,0,0,0,0,1938267
X18NAVY32_3_plasma.mzML_1,0,4033747,0,0,2986666,0,728923
X418_Plasma.mzML_1,0,5098390,0,0,0,0,1177467
X16NAVY09_4_plasma.mzML_1,0,3116513,0,0,0,0,1293381
X16NAVY13_1_plasma.mzML_1,0,2613555,0,0,0,0,408399
