Scan,17NAVY25_10_plasma.mzML,15NAVY03_19_plasma.mzML,15NAVY02_20_plasma.mzML,16NAVY13_13_plasma.mzML,16NAVY13_16_plasma.mzML,18NAVY32_12_plasma.mzML,15NAVY02_11_plasma.mzML,17NAVY18_13_plasma.mzML,410_Plasma.mzML,332_Plasma.mzML,17NAVY19_4_plasma.mzML,374_Plasma.mzML,17NAVY24_2_plasma.mzML,16NAVY15_8_plasma.mzML,384_Plasma.mzML,18NAVY32_15_plasma.mzML,18NAVY32_2_plasma.mzML,404_Plasma.mzML,18NAVY30_1_plasma.mzML,16NAVY04_10_plasma.mzML,485_Plasma.mzML,16NAVY13_10_plasma.mzML,17NAVY18_8_plasma.mzML,17NAVY18_17_plasma.mzML,18NAVY30_11_plasma.mzML,519_Plasma.mzML,16NAVY15_16_plasma.mzML,17NAVY24_10_plasma.mzML,16NAVY13_19_plasma.mzML,18NAVY32_5_plasma.mzML,16NAVY13_4_plasma.mzML,16NAVY15_9_plasma.mzML,340_Plasma.mzML,17NAVY25_5_plasma.mzML,18NAVY27_10_plasma.mzML,18NAVY32_1_plasma.mzML,17NAVY19_9_plasma.mzML,16NAVY04_11_plasma.mzML,17NAVY18_5_plasma.mzML,15NAVY02_9_plasma.mzML,16NAVY09_11_plasma.mzML,16NAVY09_20_plasma.mzML,15NAVY03_14_plasma.mzML,392_Plasma.mzML,17NAVY18_14_plasma.mzML,18NAVY30_15_plasma.mzML,15NAVY03_1_plasma.mzML,16NAVY13_8_plasma.mzML,16NAVY09_9_plasma.mzML,17NAVY19_3_plasma.mzML,18NAVY30_13_plasma.mzML,17NAVY25_1_plasma.mzML,344_Plasma.mzML,15NAVY02_8_plasma.mzML,406_Plasma.mzML,15NAVY03_16_plasma.mzML,15NAVY02_16_plasma.mzML,15NAVY02_4_plasma.mzML,16NAVY05_3_plasma.mzML,17NAVY24_14_plasma.mzML,16NAVY05_19_plasma.mzML,18NAVY32_11_plasma.mzML,15NAVY02_2_plasma.mzML,473_Plasma.mzML,16NAVY09_12_plasma.mzML,426_Plasma.mzML,18NAVY27_14_plasma.mzML,422_Plasma.mzML,16NAVY15_14_plasma.mzML,380_Plasma.mzML,18NAVY27_19_plasma.mzML,17NAVY24_13_plasma.mzML,342_Plasma.mzML,17NAVY24_19_plasma.mzML,17NAVY25_7_plasma.mzML,479_Plasma.mzML,517_Plasma.mzML,18NAVY30_18_plasma.mzML,16NAVY15_6_plasma.mzML,17NAVY25_3_plasma.mzML,18NAVY27_1_plasma.mzML,16NAVY05_12_plasma.mzML,15NAVY02_19_plasma.mzML,15NAVY02_17_plasma.mzML,18NAVY30_14_plasma.mzML,18NAVY27_4_plasma.mzML,15NAVY03_18_plasma.mzML,18NAVY30_2_plasma.mzML,16NAVY05_9_plasma.mzML,368_Plasma_20191118051546.mzML,360_Plasma_20191118041830.mzML,16NAVY04_15_plasma.mzML,416_Plasma.mzML,17NAVY24_17_plasma.mzML,17NAVY24_16_plasma.mzML,17NAVY24_6_plasma.mzML,18NAVY27_5_plasma.mzML,18NAVY30_7_plasma.mzML,16NAVY15_18_plasma.mzML,18NAVY30_6_plasma.mzML,18NAVY27_20_plasma.mzML,16NAVY04_12_plasma.mzML,15NAVY02_14_plasma.mzML,17NAVY24_20_plasma.mzML,17NAVY19_6_plasma.mzML,17NAVY24_4_plasma.mzML,17NAVY18_2_plasma.mzML,16NAVY04_17_plasma.mzML,16NAVY05_4_plasma.mzML,15NAVY03_20_plasma.mzML,18NAVY32_6_plasma.mzML,16NAVY13_7_plasma.mzML,434_Plasma.mzML,18NAVY30_10_plasma.mzML,16NAVY05_2_plasma.mzML,502_Plasma.mzML,16NAVY15_10_plasma.mzML,17NAVY18_7_plasma.mzML,16NAVY15_11_plasma.mzML,330_Plasma.mzML,16NAVY05_7_plasma.mzML,16NAVY13_6_plasma.mzML,16NAVY04_3_plasma.mzML,16NAVY09_15_plasma.mzML,16NAVY05_11_plasma.mzML,17NAVY24_5_plasma.mzML,16NAVY13_2_plasma.mzML,15NAVY02_7_plasma.mzML,16NAVY05_5_plasma.mzML,504_Plasma.mzML,15NAVY03_9_plasma.mzML,17NAVY18_6_plasma.mzML,17NAVY24_9_plasma.mzML,18NAVY32_4_plasma.mzML,16NAVY05_10_plasma.mzML,16NAVY04_16_plasma.mzML,16NAVY04_13_plasma.mzML,17NAVY24_18_plasma.mzML,18NAVY27_7_plasma.mzML,15NAVY03_4_plasma.mzML,17NAVY24_12_plasma.mzML,16NAVY15_15_plasma.mzML,18NAVY27_11_plasma.mzML,18NAVY30_12_plasma.mzML,16NAVY09_3_plasma.mzML,17NAVY19_1_plasma.mzML,18NAVY32_16_plasma.mzML,16NAVY15_7_plasma.mzML,16NAVY09_8_plasma.mzML,18NAVY32_14_plasma.mzML,15NAVY02_12_plasma.mzML,388_Plasma.mzML,408_Plasma_20191118055604.mzML,16NAVY05_18_plasma.mzML,15NAVY03_3_plasma.mzML,15NAVY03_13_plasma.mzML,328_Plasma.mzML,17NAVY24_1_plasma.mzML,16NAVY05_17_plasma.mzML,16NAVY09_10_plasma.mzML,15NAVY02_6_plasma.mzML,18NAVY27_18_plasma.mzML,16NAVY15_20_plasma.mzML,15NAVY03_2_plasma.mzML,356_Plasma_20191118035138.mzML,18NAVY32_13_plasma.mzML,16NAVY05_8_plasma.mzML,16NAVY13_9_plasma.mzML,16NAVY05_13_plasma.mzML,498_Plasma.mzML,18NAVY27_8_plasma.mzML,18NAVY30_16_plasma.mzML,17NAVY18_12_plasma.mzML,15NAVY02_1_plasma.mzML,16NAVY15_5_plasma.mzML,376_Plasma.mzML,16NAVY09_18_plasma.mzML,16NAVY04_1_plasma.mzML,18NAVY30_3_plasma.mzML,18NAVY32_7_plasma.mzML,348_Plasma_20191118024056.mzML,16NAVY13_20_plasma.mzML,414_Plasma.mzML,18NAVY27_2_plasma.mzML,511_Plasma.mzML,16NAVY04_9_plasma.mzML,17NAVY18_3_plasma.mzML,15NAVY02_15_plasma.mzML,444_Plasma.mzML,18NAVY27_16_plasma.mzML,16NAVY05_16_plasma.mzML,16NAVY13_15_plasma.mzML,509_Plasma.mzML,16NAVY04_18_plasma.mzML,424_Plasma.mzML,390_Plasma.mzML,17NAVY24_11_plasma.mzML,18NAVY32_10_plasma.mzML,18NAVY27_13_plasma.mzML,16NAVY15_1_plasma.mzML,18NAVY30_8_plasma.mzML,17NAVY18_20_plasma.mzML,15NAVY03_6_plasma.mzML,17NAVY25_9_plasma.mzML,16NAVY13_14_plasma.mzML,18NAVY30_5_plasma.mzML,16NAVY09_19_plasma.mzML,362_Plasma_20191118043156.mzML,17NAVY18_9_plasma.mzML,16NAVY13_11_plasma.mzML,17NAVY19_2_plasma.mzML,16NAVY09_1_plasma.mzML,16NAVY04_20_plasma.mzML,17NAVY18_10_plasma.mzML,436_Plasma.mzML,16NAVY15_17_plasma.mzML,17NAVY24_7_plasma.mzML,15NAVY03_11_plasma.mzML,16NAVY05_6_plasma.mzML,16NAVY13_3_plasma.mzML,386_Plasma_20191118054238.mzML,15NAVY02_13_plasma.mzML,17NAVY19_8_plasma.mzML,17NAVY18_4_plasma.mzML,16NAVY09_14_plasma.mzML,17NAVY25_8_plasma.mzML,16NAVY09_17_plasma.mzML,15NAVY02_18_plasma.mzML,482_Plasma.mzML,396_Plasma.mzML,18NAVY32_20_plasma.mzML,17NAVY25_2_plasma.mzML,15NAVY03_15_plasma.mzML,16NAVY15_13_plasma.mzML,17NAVY19_10_plasma.mzML,334_Plasma.mzML,16NAVY05_20_plasma.mzML,17NAVY24_15_plasma.mzML,16NAVY09_16_plasma.mzML,16NAVY04_6_plasma.mzML,16NAVY13_17_plasma.mzML,17NAVY18_19_plasma.mzML,336_Plasma.mzML,515_Plasma.mzML,15NAVY03_10_plasma.mzML,16NAVY04_2_plasma.mzML,16NAVY13_18_plasma.mzML,17NAVY25_4_plasma.mzML,18NAVY32_17_plasma.mzML,16NAVY15_4_plasma.mzML,398_Plasma.mzML,16NAVY05_14_plasma.mzML,16NAVY04_4_plasma.mzML,16NAVY15_19_plasma.mzML,18NAVY32_19_plasma.mzML,16NAVY15_2_plasma.mzML,18NAVY27_15_plasma.mzML,16NAVY05_1_plasma.mzML,18NAVY27_3_plasma.mzML,350_Plasma_20191118025422.mzML,402_Plasma.mzML,15NAVY03_8_plasma.mzML,16NAVY04_8_plasma.mzML,17NAVY18_11_plasma.mzML,16NAVY15_3_plasma.mzML,18NAVY27_9_plasma.mzML,18NAVY27_6_plasma.mzML,15NAVY02_3_plasma.mzML,17NAVY19_7_plasma.mzML,352_Plasma_20191118030748.mzML,15NAVY02_5_plasma.mzML,18NAVY30_9_plasma.mzML,16NAVY04_7_plasma.mzML,17NAVY24_8_plasma.mzML,17NAVY19_5_plasma.mzML,18NAVY30_17_plasma.mzML,16NAVY04_19_plasma.mzML,17NAVY18_15_plasma.mzML,18NAVY30_19_plasma.mzML,17NAVY24_3_plasma.mzML,16NAVY04_5_plasma.mzML,420_Plasma.mzML,370_Plasma.mzML,442_Plasma.mzML,17NAVY18_1_plasma.mzML,378_Plasma.mzML,430_Plasma_20191118060930.mzML,18NAVY27_12_plasma.mzML,324_Plasma.mzML,17NAVY18_18_plasma.mzML,18NAVY32_3_plasma.mzML,418_Plasma.mzML,16NAVY09_4_plasma.mzML,16NAVY13_1_plasma.mzML
109485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1466930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169966,0,0,0,182842,0,0,181738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187359,0,0,0,0,0,0,0,0,0,0,109691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,1278279,203597,1951167,344228,370395,1425247,185917,636356,0,0,502395,0,609754,479386,0,1792824,0,0,1815246,671613,0,1231062,360856,2467434,589719,0,126460,695954,1079373,0,383200,1911401,0,573083,0,541640,347007,215233,440144,398476,162581,823537,697776,0,538060,195699,453438,737987,614257,0,0,523430,0,132649,0,391355,347780,327176,950970,303118,644228,807153,318387,0,425961,0,775586,0,748156,0,656527,549336,0,857277,425004,0,0,512696,412037,1121091,0,610730,502844,0,808269,709696,175708,191547,603972,0,0,578248,0,562145,645940,367226,0,531754,237298,1589560,277891,0,357465,1136536,375267,736694,832148,721811,565391,373628,161165,642576,0,214566,192551,0,275615,525244,671823,0,715656,315694,1015941,223345.5,409807,821308,595584,0,656119,0,1175150,239162,2487794,274818,161361,397870,840213,488512,1267738,0,1115712,294812,1574623,270491,825022,135982,624832,481742,0,389315,370601,0,0,0,2546707,469684,1646470,1585498,0,156925,712447,328353,145264,179994,0,367953,436062,1796238,784279,0,336266,0,3207244,161753,278544,0,419951,0,307006,368760,0,223280,0,605907,0,352560,264900,546034,0,353986,456360,217484,0,383349,0,0,2114290,659057,581510,0,804256,909586,611703,1961040,322711,2205576,422769,0,936981,842920,436246,121104,455514,191106,0,252429,368242,162220,694812,0,0,2232809,568605,133492,147289,421940,429451,0,0,0,226834,887819,230708,345378,274608,0,730039,699933,969480,585960,439612,149825,0,0,195554,972172,1080167,666783,0,508793,0,594904,409917,583627,242290,459389,551327,219177,847306,0,0,0,0,376244,722321,329945,348760,2631980,271450,0,452643,803466,1105555,508199,652854,559330,0,506659,615039,922577,0,0,0,0,122744,0,0,212528,0,315035,1394360,0,124861,452832
145999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142734,0,0,0,0,0,0,0,0,0,0,0,0,198990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278592,0,0,0,0,0,0,0,0,0,0,0,0,159498,0,0,193001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293675,0,0,0
89956,0,0,107056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89716.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125746,0,0,0,0,0,0,0,0,50739.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183433,1072690,1431970,744570,2256470,1981980,936950,1116540,910192,1221040,1789660,1887990,1249450,1028660,595993,1834440,1567150,1141990,1290320,1689420,885609,2064020,1029770,970987,1261430,1402240,2677750,857104,1325540,1171460,1199790,1132000,1406650,2221060,1850530,2481230,1166650,0,1435720,1562510,1650530,1144060,1059930,1567450,1565800,1555170,1227110,714523,1502690,1157300,2368820,1199560,898888,1100900,2157510,3360890,1381650,466162,1059590,1934660,0,1705860,0,2312380,3726340,826292,1735670,1412440,1231640,1037500,1218960,1129170,941931,652440,733616,0,1335940,1204250,1170100,806282,2083150,1205960,1503000,1091980,1401510,941668,983327,2451660,1128930,1674850,930408,0,1296980,1186510,1484900,1052100,1703090,1331080,1943550,730834,1174440,1053330,918418,1785750,928503,1533450,1913180,1218300,2300960,1709390,2127530,710161,1510400,1406580,1139680,2101420,1293880,1206690,1012230,907736,1706040,1654940,1432210,1344820,832410,1332940,740841,1425840,1344180,2266710,2832970,1006100,1250710,829696,1168590,1184920,1866380,1277620,1664240,1112940,1388980,815008,784312,1558760,1136400,947016,1878940,1501340,1633040,1312810,1437880,1125960,0,1006910,1137430,1677750,1181690,2442740,1240480,2361110,923986,1118750,990488,942472,352398,0,1237870,1180450,1304530,1032680,835781,1783790,1274080,1351170,3258950,1590680,2998220,1403030,1805730,1304010,1264910,618726,977907,2629380,1634620,2733730,1420980,1103270,1844040,909396,1456810,1693080,2245940,1826820,1177760,3123500,1080370,1214740,1334730,1305560,1472040,1182880,1303400,1575630,850271,1274490,791355,972293,0,899052,2212090,883264,1069790,1313870,504028,2516470,755473,1366080,1523820,1529520,1028730,0,1049750,1443500,1351220,1253820,947085,846110,704413,0,933073,1463260,464361,1244440,603602,1247360,3044240,1348010,1469990,981508,1683700,1095520,1200510,3614600,603689,1182930,1492480,1068860,1267690,776886,1285580,2481820,1423110,1593860,994253,1655500,857362,1701970,1898180,1219600,597598,1198180,2670080,1593490,637719,1712540,988417,1286050,1841900,1636960,732748,1695440,1435760,1300690,570177,1181680,1301150,1881100,772036,1664220,1660010,641131,669864,1857550,1312050,1079960,982224,1015990,996485,2193600,1268610,1113040,1149780,1026460,1328280
40767,88352.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182834,0,148600,0,116258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88345.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84420.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91787.8,0,0,0,0,0,0,89971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78339.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87033.3,0,0,0,0,156005,0,0,0,0,0,0,0,0,0,104900,0,0,0,0
199754,0,0,0,0,0,0,0,0,0,775276,0,704728,0,0,826303,0,0,725392,0,0,726574,0,0,0,0,721826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732347,0,0,0,0,0,0,0,0,0,0,760588,0,0,0,0,0,0,0,0,702970,0,892551,0,939287,0,769180,0,0,0,0,0,963086,771639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,755674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,903274,0,0,874145,0,0,0,762140,0,0,0,0,0,0,0,0,0,772567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,706058,0,0,0,0,0,0,0,0,0,0,0,0,838649,0,0,0,0,0,769493,0,0,0,0,758170,0,865675,0,708671,0,0,0,813501,0,0,0,817420,0,711633,819732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,852453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,716231,0,0,0,0,0,861294,0,0,0,0,0,0,681943,0,0,0,0,0,0,0,786573,0,0,0,0,0,0,0,0,0,762826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,806802,618381,838382,0,734426,0,0,684544,0,0,835802,0,0
34440,0,0,175985,134843,119739,0,0,207227,0,0,154995,0,0,0,0,0,0,0,85331,248361,0,0,0,0,0,0,0,0,113287,0,0,0,0,0,0,141148,148855,216850,165675,0,126365,0,141235,0,0,0,129434,0,0,151521,0,0,0,0,0,272519.4,268898.6,0,0,86741.4,0,0,200810,0,88066.5,0,0,0,0,0,0,84070.3,0,0,0,0,0,194795,126238,0,0,0,199274,163993,0,84794.6,70106.2,0,0,0,0,177072,0,0,88918.3,0,92322.2,0,0,0,0,168089,137219,0,167637,0,0,180464,0,0,0,144520,0,0,92748.6,0,135537,0,0,0,0,0,0,165572,0,0,155039,0,178316,0,128946,140740,0,0,0,0,0,0,0,0,95686.2,0,0,0,0,152695,0,0,154072,106353,181931,0,0,146988,96535.2,0,0,0,0,0,135216,83543.9,0,78193.4,0,172510,195139,0,0,0,0,0,0,178280,0,0,115596,211558,86619.4,171973,0,0,0,0,0,311600.8,138880,214536,0,0,172613,124065,0,96156.8,0,0,97173.2,0,117888,135475,0,0,153950,89417.5,173782,0,138527,0,0,0,0,138453,0,156165,0,0,102807,0,0,0,0,0,0,0,0,87245.9,0,0,0,0,0,88266.5,0,0,182769,0,233054,91667.8,79057.4,119402,0,0,0,0,0,294038.4,0,0,0,148212,0,0,96733.1,0,0,140208,110854,0,126742,0,0,111090,0,120728,0,0,0,288402,151256,0,0,0,0,0,177929,0,130405,159270,0,95656.1,0,0,0,0,129536,0,0,0,0,0,0,0,142173,0
