UNC,GLY,TAU,AA,OXO,SUL,tetra,PlotOrder
0,0.462901699,0.537098301,0,0,0,0,1
0,1,0,0,0,0,0,2
0,0.673714859,0.326285141,0,0,0,0,3
0,0.69192444,0.30807556,0,0,0,0,4
0,1,0,0,0,0,0,5
0,1,0,0,0,0,0,6
0,0.21720844,0.78279156,0,0,0,0,7
0,0.848199906,0.151800094,0,0,0,0,8
0,1,0,0,0,0,0,9
0,1,0,0,0,0,0,10
0,0.556168978,0.443831022,0,0,0,0,11
0,1,0,0,0,0,0,12
0,1,0,0,0,0,0,13
0,1,0,0,0,0,0,14
0,1,0,0,0,0,0,15
0,1,0,0,0,0,0,16
0,0.549642673,0.450357327,0,0,0,0,17
0,0.683817956,0.316182044,0,0,0,0,18
0,1,0,0,0,0,0,19
0,1,0,0,0,0,0,20
0,1,0,0,0,0,0,21
0,1,0,0,0,0,0,22
0,1,0,0,0,0,0,23
0,0.896479129,0.103520871,0,0,0,0,24
0,1,0,0,0,0,0,25
0,0.51827101,0.48172899,0,0,0,0,26
0,1,0,0,0,0,0,27
0,1,0,0,0,0,0,28
0,1,0,0,0,0,0,29
0,1,0,0,0,0,0,30
0,0.812519597,0.187480403,0,0,0,0,31
0,1,0,0,0,0,0,32
0,1,0,0,0,0,0,33
0,1,0,0,0,0,0,34
0,1,0,0,0,0,0,35
0.016300938,0.765188453,0.218510609,0,0,0,0,36
0.01794785,0.755190736,0.226861414,0,0,0,0,37
0.019631726,0.717799664,0.26256861,0,0,0,0,38
0.025787605,0.671581121,0.302631275,0,0,0,0,39
0.031422026,0.430438404,0.53813957,0,0,0,0,40
0.032124508,0.909161603,0.05871389,0,0,0,0,41
0.033756041,0.966243959,0,0,0,0,0,42
0.037762477,0.962237523,0,0,0,0,0,43
0.039653927,0.36078932,0,0.599556752,0,0,0,44
0.04245405,0.835280825,0.122265125,0,0,0,0,45
0.045802782,0.954197218,0,0,0,0,0,46
0.046975033,0.953024967,0,0,0,0,0,47
0.04911796,0.95088204,0,0,0,0,0,48
0.049125541,0.564685732,0.386188727,0,0,0,0,49
0.050600792,0.351187632,0.598211575,0,0,0,0,50
0.053679459,0.659335019,0.130075982,0.15690954,0,0,0,51
0.054547101,0.945452899,0,0,0,0,0,52
0.055275457,0.440725653,0.50399889,0,0,0,0,53
0.056607285,0.796689128,0.146703588,0,0,0,0,54
0.05916487,0.627142104,0.313693026,0,0,0,0,55
0.062695836,0.937304164,0,0,0,0,0,56
0.063103308,0.569533723,0.367362969,0,0,0,0,57
0.065164097,0.176062822,0.758773081,0,0,0,0,58
0.065901395,0.596375538,0.337723067,0,0,0,0,59
0.066244326,0.553597198,0.380158476,0,0,0,0,60
0.066591766,0.638133156,0.295275078,0,0,0,0,61
0.066845574,0.456354372,0.476800054,0,0,0,0,62
0.071133241,0.928866759,0,0,0,0,0,63
0.071928453,0.928071547,0,0,0,0,0,64
0.072399957,0.927600043,0,0,0,0,0,65
0.073768207,0.687822834,0.23840896,0,0,0,0,66
0.080626621,0.919373379,0,0,0,0,0,67
0.082419868,0.917580132,0,0,0,0,0,68
