Group,AA,GLY,OXO,SUL,TAU,tetra,UNC
X38713.mzXML_1,12153647,0,265435940,24424780,9575420,121605840,2092749310
X11713.17.F.17H.mzML_1,0,66690430,0,0,293385032,0,0
X38906.mzXML_1,44156860,34116810,1068697040,463303,19324330,62789380,1452322656
X11713.18.F.18C.mzML_1,0,40170210,0,0,87636424,0,0
X39048.mzXML_1,13372190,0,477639626,2923380,8026673,108891400,2441579330
X18NAVY32_V2_20180416.mzML_1,0,0,407930,0,0,0,11039998
Fecal.1.8MeOH.2H2O_RA3_81.mzML_1,0,16500084,13118490,0,37334030,9348486,388100353
Fecal.2.6MeOH.4H2O_RB5_137.mzML_1,0,31499060,45109499,0,512041,20951840,570679598
X11713.5.F.5E.mzML_1,0,27127300,647550,0,442142640,0,23732390
Fecal.1.5EtOH.5H2O_RA10_152.mzML_1,0,9852567,28285600,0,18607256,4862256,164351484
Fecal.2.5EtOH.5H2O_RB10_165.mzML_1,0,27293293,11954482,0,2232600,15079404,89435915
X11713.18.F.18B.mzML_1,0,32427560,0,0,54858604,0,0
X16NAVY05_V2_20160228_40772.mzML_1,0,0,0,0,675910,0,0
Fecal.1.MeOH_RA1_33.mzML_1,0,16712630,37821070,0,16500608,8725960,74625514
BP000096877_p.mzML_1,0,33057570,17649490,0,0,4977880,744308498
BP000096925_n.mzML_1,0,88828800,0,0,0,0,515057300
X38901.mzXML_1,0,0,109241820,41374560,234525755,155130340,1625026120
Fecal.1.ACN_RA8_49.mzML_1,0,0,0,0,0,1075500,22638755
BP000096941_n.mzML_1,0,109667800,0,0,0,0,1421104410
X38865.mzXML_1,0,5818060,0,0,199076442,5164280,370322050
X38896.mzXML_1,763375,1674450,370221797,4768080,0,22268460,1619208502
BP000096925_p.mzML_1,0,575147480,40864950,0,10516060,5750420,960282770
BP000098355_n.mzML_1,0,120903060,0,0,0,0,457930407
Fecal.1.5MeOH.5ACN_RA7_117.mzML_1,0,8674533,14818630,0,148018316,12860720,89970771
Fecal.2.5MeOH.5H2O_RB6_167.mzML_1,0,28865286,88059717,0,622797,16564878,55075499
BP000098371_p.mzML_1,0,11177540,0,0,5826111,6115320,264853150
BP000097077_n.mzML_1,0,52816600,0,0,0,0,1117224116
X38826.mzXML_1,0,0,663229980,0,0,0,79722790
X39025.mzXML_1,26837020,0,280571900,18869870,109701450,105797680,1459254050
X38755.mzXML_1,8446108,0,910488310,16014390,1383610,393895320,1934014570
X16NAVY15_V1_20161113.mzML_1,0,0,38369887,0,0,0,1138291529
X11713.16.F.16F.mzML_1,0,0,0,0,838747,0,0
BP000098403_n.mzML_1,0,3030870,0,0,0,0,418622710
BP000096853_n.mzML_1,0,61896200,0,0,0,0,1276069600
X17NAVY24_V1_20170911.mzML_1,0,0,0,0,0,0,3714022
X11713.5.F.5D.mzML_1,0,1718860,0,0,77118379,0,0
BP000096989_p.mzML_1,0,4987380,0,0,0,2791820,221409320
