PlotOrder,UNC,GLY,TAU,AA,OXO,SUL,tetra
1,0,0.185212371,0.814787629,0,0,0,0
2,0,0.314304577,0.685695423,0,0,0,0
3,0,0.371508593,0.628491407,0,0,0,0
4,0,0,1,0,0,0,0
5,0,0,1,0,0,0,0
6,0,0.021802641,0.978197359,0,0,0,0
7,0,0.204169138,0.795830862,0,0,0,0
8,0,0.437543819,0.562456181,0,0,0,0
9,0,0.029744615,0.970255385,0,0,0,0
10,0,0.254528752,0.745471248,0,0,0,0
11,0,0,1,0,0,0,0
12,0,1,0,0,0,0,0
13,0,0.15979215,0.84020785,0,0,0,0
14,0,0.092203189,0.907796811,0,0,0,0
15,0,0,1,0,0,0,0
16,0,0.682670718,0.317329282,0,0,0,0
17,0,0,0,0,0,0,1
18,0,0.137545984,0.862454016,0,0,0,0
19,0,0,1,0,0,0,0
20,0,0.516604132,0.483395868,0,0,0,0
21,0,0.066920148,0.933079852,0,0,0,0
22,0,0.106198634,0.893801366,0,0,0,0
23,0,0.030485492,0.969514508,0,0,0,0
24,0,1,0,0,0,0,0
25,0,0.408879992,0.591120008,0,0,0,0
26,0,0.227012908,0.772987092,0,0,0,0
27,0,0.303514816,0.696485184,0,0,0,0
28,0,0,1,0,0,0,0
29,0,0.224135854,0.775864146,0,0,0,0
30,0,0.195444885,0.804555115,0,0,0,0
31,0,0.280767838,0.719232162,0,0,0,0
32,0,0.710481952,0.289518048,0,0,0,0
33,0,0.05816901,0.94183099,0,0,0,0
34,0,0.240864231,0.759135769,0,0,0,0
35,0,0.284762788,0.715237212,0,0,0,0
36,0,1,0,0,0,0,0
37,0,0.176257397,0.823742603,0,0,0,0
38,0,0,0,0,0.155090272,0,0.844909728
39,0,0.383283349,0.616716651,0,0,0,0
40,0,0.165447044,0.834552956,0,0,0,0
41,0,0.014467493,0.985532507,0,0,0,0
42,0,0,1,0,0,0,0
43,0,0,1,0,0,0,0
44,0.00507421,0.051541259,0.941005062,0,0.002379468,0,0
45,0.015819811,0.009276862,0,0,0.850225364,0,0.124677963
46,0.027200724,0.162426985,0.810372291,0,0,0,0
47,0.039249627,0.111434933,0.811706669,0,0.037608771,0,0
48,0.048075348,0.05495251,0.895660382,0,0.00131176,0,0
49,0.063294054,0.293531978,0.643173968,0,0,0,0
50,0.068613645,0.003477939,0.051315438,0,0.585000096,0,0.291592881
