Group,AA,GLY,OXO,SUL,TAU,tetra,UNC
Urine_NGS097_FragPos.mzML_1,0,0,0,0,0,0,0
X11129_NT1D012_JJK_Ur.mzML_1,0,19257432,0,0,0,0,2643108
Urine_NGS025_FragPos.mzML_1,0,0,0,0,0,0,0
X11129_NH034_JJK_Ur.mzML_1,0,40380727,0,0,0,0,9294520
Urine_NGS026_FragPos.mzML_1,0,0,0,0,0,0,0
Urine_87_Top10_posneg.mzML_1,0,0,0,0,0,0,0
X11129_NT1D027_JJK_Ur.mzML_1,0,11495240,0,0,0,0,20375760
Urine_StrokeDrugs_28_T10_POS.mzML_1,0,0,0,0,0,0,0
Urine_20_Top10_posneg.mzML_1,0,0,0,0,0,0,0
Urine_NGS015_FragPos.mzML_1,0,0,0,0,0,0,0
Urine_23_Top10_posneg.mzML_1,0,0,0,0,0,0,0
X11129_NT1D020_JJK_Ur.mzML_1,0,1899729,0,0,0,0,26148620
Urine_StrokeDrugs_52_T10_POS.mzML_1,0,0,0,0,0,0,0
Urine_NGS105_FragPos.mzML_1,0,0,0,0,0,0,0
Urine_StrokeDrugs_80_T10_POS.mzML_1,0,0,0,0,0,0,0
X11129_OT1D001_JJK_Ur.mzML_1,0,7545965,0,0,0,0,4979320
Urine_NGS027_FragPos.mzML_1,0,0,0,0,0,0,0
Urine_NGS051_FragPos.mzML_1,0,0,0,0,0,0,0
Urine_NGS131_FragPos.mzML_1,0,0,0,0,0,0,0
X11129_NT1D013_JJK_Ur.mzML_1,0,5871715,0,0,0,0,18651460
X11129_NH027_JJK_Ur.mzML_1,0,2744163,0,0,0,0,4267180
X11129_NH020_JJK_Ur.mzML_1,0,3973875,0,0,0,0,60672030
Urine_StrokeDrugs_53_T10_NEG.mzML_1,0,0,0,0,0,0,0
Urine_66_Top10_posneg.mzML_1,0,0,0,0,0,0,0
Urine_NGS143_FragPos.mzML_1,0,0,0,0,0,0,0
X11129_NT1D007_JJK_Ur.mzML_1,0,10589232,0,0,0,0,3726560
Urine_NGS130_FragPos.mzML_1,0,0,0,0,0,0,0
Urine_StrokeDrugs_52_T10_NEG.mzML_1,0,0,0,0,0,0,0
X11129_NH025_JJK_Ur.mzML_1,0,43814879,0,0,810405,0,56991140
Urine_NGS102_FragPos.mzML_1,0,0,0,0,0,0,0
X11129_OH022_JJK_Ur.mzML_1,0,10666966,0,0,0,0,17171400
Urine_NGS085_FragPos.mzML_1,0,0,0,0,0,0,0
X11129_OH023_JJK_Ur.mzML_1,0,6633774,0,0,0,0,30683120
Urine_74_Top10_posneg.mzML_1,0,0,0,0,0,0,0
X11129_OT1D003_JJK_Ur.mzML_1,0,11828473,0,0,0,0,7158860
X11129_NH013_JJK_Ur.mzML_1,0,12260910,0,0,0,0,1270322
Urine_NGS023_FragPos.mzML_1,0,0,0,0,0,0,0
Urine_NGS084_FragPos.mzML_1,0,0,0,0,0,0,0
X11129_NH004_JJK_Ur.mzML_1,0,9802273,0,0,816159,0,23826300
X11129_NH019_JJK_Ur.mzML_1,0,7454388,0,0,0,0,6378820
X11129_NH003_JJK_Ur.mzML_1,0,13573828,0,0,358530,0,7482676
X11129_OH004_JJK_Ur.mzML_1,0,6959619,0,0,0,0,101841820
Urine_19_Top10_posneg.mzML_1,0,0,0,0,0,0,0
Urine_NGS063_FragPos.mzML_1,0,0,0,0,0,0,0
Urine_NGS089_FragPos.mzML_1,0,0,0,0,0,0,0
Urine_NGS101_FragPos.mzML_1,0,0,0,0,0,0,0
Urine_88_Top10_posneg.mzML_1,0,0,0,0,0,0,0
Urine_NGS005_FragPos.mzML_1,0,0,0,0,0,0,0
Urine_NGS062_FragPos.mzML_1,0,0,0,0,0,0,0
X11129_OH017_JJK_Ur.mzML_1,0,5362279,0,0,0,0,4476580
Urine_StrokeDrugs_02_T10_POS.mzML_1,0,0,0,0,0,0,0
Urine_61_Top10_posneg.mzML_1,0,0,0,0,0,0,0
X11129_OT1D018_JJK_Ur.mzML_1,0,6207769,0,0,0,0,6679718
Urine_StrokeDrugs_105_T10_POS.mzML_1,0,0,0,0,0,0,0
Urine_StrokeDrugs_57_T10_NEG.mzML_1,0,0,0,0,0,0,0
Urine_StrokeDrugs_03_T10_NEG.mzML_1,0,0,0,0,0,0,0
Urine_NGS011_FragPos.mzML_1,0,0,0,0,0,0,0
X11129_NT1D010_JJK_Ur.mzML_1,0,8105917,0,0,0,0,8238888
Urine_NGS004_FragPos.mzML_1,0,0,0,0,0,0,0
Urine_NGS082_FragPos.mzML_1,0,0,0,0,0,0,0
X11129_NH031_JJK_Ur.mzML_1,0,8875759,0,0,0,0,10374170
Urine_NGS104_FragPos.mzML_1,0,0,0,0,0,0,0
Urine_StrokeDrugs_93_T10_POS.mzML_1,0,0,0,0,0,0,0
X11129_OH014_JJK_Ur.mzML_1,0,23510363,0,0,0,0,7669300
Urine_StrokeDrugs_85_T10_NEG.mzML_1,0,0,0,0,0,0,0
Urine_StrokeDrugs_93_T10_NEG.mzML_1,0,0,0,0,0,0,0
Urine_StrokeDrugs_58_T10_POS.mzML_1,0,0,0,0,0,0,0
Urine_NGS132_FragPos.mzML_1,0,0,0,0,0,0,0
Urine_StrokeDrugs_03_T10_POS.mzML_1,0,0,0,0,0,0,0
Urine_StrokeDrugs_85_T10_POS.mzML_1,0,0,0,0,0,0,0
X11129_OH005_JJK_Ur.mzML_1,0,7993960,0,0,0,0,6850740
X11129_NH022_JJK_Ur.mzML_1,0,6568790,0,0,0,0,8001510
Urine_NGS135_FragPos.mzML_1,0,0,0,0,0,0,0
Urine_NGS128_FragPos.mzML_1,0,0,0,0,0,0,0
X11129_NT1D001_JJK_Ur.mzML_1,0,6007110,0,0,0,0,57281875
Urine_22_Top10_posneg.mzML_1,0,0,0,0,0,0,0
Urine_StrokeDrugs_105_T10_NEG.mzML_1,0,0,0,0,0,0,0
Urine_StrokeDrugs_38_T10_POS.mzML_1,0,0,0,0,0,0,0
Urine_NGS129_FragPos.mzML_1,0,0,0,0,0,0,0
Urine_14_Top10_posneg.mzML_1,0,0,0,0,0,0,0
