Scan,Urine_NGS055_FragPos.mzML,Urine_NGS097_FragPos.mzML,11129_NT1D012_JJK_Ur.mzML,Urine_NGS025_FragPos.mzML,11129_NH034_JJK_Ur.mzML,Urine_NGS026_FragPos.mzML,Urine_87_Top10_posneg.mzML,11129_NT1D027_JJK_Ur.mzML,Urine_StrokeDrugs_28_T10_POS.mzML,Urine_20_Top10_posneg.mzML,Urine_NGS015_FragPos.mzML,Urine_23_Top10_posneg.mzML,11129_NT1D020_JJK_Ur.mzML,Urine_StrokeDrugs_52_T10_POS.mzML,Urine_NGS105_FragPos.mzML,Urine_StrokeDrugs_80_T10_POS.mzML,11129_OT1D001_JJK_Ur.mzML,Urine_NGS027_FragPos.mzML,Urine_NGS051_FragPos.mzML,Urine_NGS131_FragPos.mzML,11129_NT1D013_JJK_Ur.mzML,11129_NH027_JJK_Ur.mzML,11129_NH020_JJK_Ur.mzML,Urine_StrokeDrugs_53_T10_NEG.mzML,Urine_66_Top10_posneg.mzML,Urine_NGS143_FragPos.mzML,11129_NT1D007_JJK_Ur.mzML,Urine_NGS130_FragPos.mzML,Urine_StrokeDrugs_52_T10_NEG.mzML,11129_NH025_JJK_Ur.mzML,Urine_NGS102_FragPos.mzML,11129_OH022_JJK_Ur.mzML,Urine_NGS085_FragPos.mzML,11129_OH023_JJK_Ur.mzML,Urine_74_Top10_posneg.mzML,11129_OT1D003_JJK_Ur.mzML,11129_NH013_JJK_Ur.mzML,Urine_NGS023_FragPos.mzML,Urine_NGS084_FragPos.mzML,11129_NH004_JJK_Ur.mzML,11129_NH019_JJK_Ur.mzML,11129_NH003_JJK_Ur.mzML,11129_OH004_JJK_Ur.mzML,Urine_19_Top10_posneg.mzML,Urine_NGS063_FragPos.mzML,Urine_NGS089_FragPos.mzML,Urine_NGS101_FragPos.mzML,Urine_88_Top10_posneg.mzML,Urine_NGS005_FragPos.mzML,Urine_NGS062_FragPos.mzML,11129_OH017_JJK_Ur.mzML,Urine_StrokeDrugs_02_T10_POS.mzML,Urine_61_Top10_posneg.mzML,11129_OT1D018_JJK_Ur.mzML,Urine_StrokeDrugs_105_T10_POS.mzML,Urine_StrokeDrugs_57_T10_NEG.mzML,Urine_StrokeDrugs_03_T10_NEG.mzML,Urine_NGS011_FragPos.mzML,11129_NT1D010_JJK_Ur.mzML,Urine_NGS004_FragPos.mzML,Urine_NGS082_FragPos.mzML,11129_NH031_JJK_Ur.mzML,Urine_NGS104_FragPos.mzML,Urine_StrokeDrugs_93_T10_POS.mzML,11129_OH014_JJK_Ur.mzML,Urine_StrokeDrugs_85_T10_NEG.mzML,Urine_StrokeDrugs_93_T10_NEG.mzML,Urine_StrokeDrugs_58_T10_POS.mzML,Urine_NGS132_FragPos.mzML,Urine_StrokeDrugs_03_T10_POS.mzML,Urine_StrokeDrugs_85_T10_POS.mzML,11129_OH005_JJK_Ur.mzML,11129_NH022_JJK_Ur.mzML,Urine_NGS135_FragPos.mzML,Urine_NGS128_FragPos.mzML,11129_NT1D001_JJK_Ur.mzML,Urine_22_Top10_posneg.mzML,Urine_StrokeDrugs_105_T10_NEG.mzML,Urine_StrokeDrugs_38_T10_POS.mzML,Urine_NGS129_FragPos.mzML,Urine_14_Top10_posneg.mzML,Urine_37_Top10_posneg.mzML,Urine_NGS019_FragPos.mzML,Urine_StrokeDrugs_18_T10_POS.mzML,Urine_NGS126_FragPos.mzML,Urine_NGS030_FragPos.mzML,11129_OH018_JJK_Ur.mzML,11129_NT1D015_JJK_Ur.mzML,Urine_NGS079_FragPos.mzML,Urine_StrokeDrugs_18_T10_NEG.mzML,11129_NT1D017_JJK_Ur.mzML,Urine_84_Top10_posneg.mzML,11129_OH011_JJK_Ur.mzML,11129_NH030_JJK_Ur.mzML,11129_NH029_JJK_Ur.mzML,Urine_NGS016_FragPos.mzML,11129_NH012_JJK_Ur.mzML,Urine_NGS081_FragPos.mzML,Urine_95_Top10_posneg.mzML,Urine_90_Top10_posneg.mzML,11129_NT1D003_JJK_Ur.mzML,Urine_StrokeDrugs_58_T10_NEG.mzML,11129_NH026_JJK_Ur.mzML,Urine_StrokeDrugs_02_T10_NEG.mzML,Urine_StrokeDrugs_53_T10_POS.mzML,Urine_NGS037_FragPos.mzML,Urine_76_Top10_posneg.mzML,11129_OT1D014_JJK_Ur.mzML,Urine_StrokeDrugs_80_T10_NEG.mzML,11129_NH002_JJK_Ur.mzML,Urine_NGS098_FragPos.mzML,Urine_NGS071_FragPos.mzML,11129_NT1D016_JJK_Ur.mzML,11129_OT1D009_JJK_Ur.mzML,Urine_NGS074_FragPos.mzML,Urine_StrokeDrugs_28_T10_NEG.mzML,11129_NH028_JJK_Ur.mzML,11129_NH001_JJK_Ur.mzML,Urine_NGS046_FragPos.mzML,11129_NT1D019_JJK_Ur.mzML,11129_OH010_JJK_Ur.mzML,11129_NT1D028_JJK_Ur.mzML,11129_OT1D024_JJK_Ur.mzML,Urine_NGS031_FragPos.mzML,Urine_NGS059_FragPos.mzML,Urine_StrokeDrugs_57_T10_POS.mzML,11129_OT1D016_JJK_Ur.mzML,Urine_NGS133_FragPos.mzML,Urine_StrokeDrugs_38_T10_NEG.mzML,11129_NH015_JJK_Ur.mzML,Urine_NGS077_FragPos.mzML,Urine_NGS114_FragPos.mzML,11129_OH016_JJK_Ur.mzML,11129_NT1D033_JJK_Ur.mzML,11129_NH021_JJK_Ur.mzML,11129_NH033_JJK_Ur.mzML,Urine_NGS013_FragPos.mzML
45485,34406020,29896670,3877500,12465270,12419200,37262992,0,8721410,4311080,17855000,17363410,0,4784280,0,10219120,0,1781370,19710280,23626450,2376180,4549720,12996200,1296460,0,0,41533505,8970230,19489000,0,16204300,0,13935000,28041286,10702700,0,6835400,32903100,19433700,70282320,83368000,14049900,40780500,29419800,0,0,0,41680300,0,9323430,23406590,2148530,0,0,2527990,0,0,0,2221980,7653130,6584090,38271171,2328880,0,0,27219500,0,0,5576910,29082670,0,2428120,3789000,3231320,17457130,19627945,3336270,0,0,0,5213060,7148430,0,0,0,24248228,19429210,2254280,14326500,0,0,2181450,0,12393000,1067420,2825910,1790320,6549080,19115850,0,0,2347400,0,6031740,0,2189650,17446330,0,7064620,0,4910500,18553190,19114240,4991720,2217520,18638410,0,3349630,2381840,0,2666230,10254600,3767770,4519660,9802480,21906810,0,3696300,0,0,4463440,26141270,20954250,2524320,2988270,3204840,20290200,5936640
49094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,612342,0,0,0,0,0,0,0,0,0,0,0,0,0,456806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22670,0,0,11257100,0,48858700,0,0,1066880,0,0,0,0,11259000,0,0,0,2659300,0,0,0,3932500,5047290,8647100,0,0,0,8240170,0,0,1661030,0,10778100,0,21632000,0,15070600,12801500,0,0,25348400,6294130,20629000,14611600,0,0,0,0,0,0,0,16185900,0,0,5721540,0,0,0,0,4539720,0,0,1519010,0,0,30877600,0,0,0,0,0,0,20133500,8115160,0,0,15555300,0,0,0,0,0,0,0,0,0,0,16319900,19883000,0,0,7239300,0,3807640,8082520,1574830,0,2978440,0,0,0,19572300,0,4544890,0,0,0,0,5153550,0,7279270,0,0,25853600,11704400,0,0,4603850,5001430,0,1264600,18657000,9731750,4690960,0,0,0,26124600,0,0,17850500,0,0,14558100,1227090,4809830,19940100,0
44434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,725952,0,0,0,0,0,0,0,0,0,1318450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,548460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1055840,0,460265,1112700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2993490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2275040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310501,0,0,0,0,0,494621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233785,0,0,0,0,0,0,0,0,0,436717,0,162528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24738,0,0,1339990,0,0,0,0,0,0,0,0,0,1436750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1391390,0,0,0,0,801648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,997833,0,0,424204,0,484374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1519940,0,0,0,0,1029810,0,0,0,0,0,0,760379,0,830438,0,0,0,0,1359290,0,0,0,0,0,265809,926862,0,0,0
6141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1924490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2396830
14752,0,2086869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,813166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3453530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
