UNC,GLY,TAU,AA,OXO,SUL,tetra,PlotOrder
0.015188878,0.927732836,0.057078286,0,0,0,0,1
0.022733109,0.960618234,0.016648657,0,0,0,0,2
0.093880735,0.906119265,0,0,0,0,0,3
0.120686887,0.879313113,0,0,0,0,0,4
0.143678511,0.856321489,0,0,0,0,0,5
0.17171017,0.82828983,0,0,0,0,0,6
0.187105663,0.812894337,0,0,0,0,0,7
0.209508425,0.790491575,0,0,0,0,0,8
0.213052477,0.758421131,0.028526392,0,0,0,0,9
0.223716242,0.776283758,0,0,0,0,0,10
0.245971228,0.754028772,0,0,0,0,0,11
0.260311131,0.739688869,0,0,0,0,0,12
0.268304719,0.731695281,0,0,0,0,0,13
0.284535649,0.589221924,0.126242427,0,0,0,0,14
0.349412287,0.633845737,0.016741977,0,0,0,0,15
0.353817802,0.646182198,0,0,0,0,0,16
0.377033468,0.622966532,0,0,0,0,0,17
0.397541453,0.602458547,0,0,0,0,0,18
0.40427597,0.59572403,0,0,0,0,0,19
0.4205834,0.5794166,0,0,0,0,0,20
0.45498975,0.54501025,0,0,0,0,0,21
0.461123696,0.538876304,0,0,0,0,0,22
0.461494001,0.538505999,0,0,0,0,0,23
0.495266183,0.504733817,0,0,0,0,0,24
0.504067684,0.495932316,0,0,0,0,0,25
0.518310358,0.481689642,0,0,0,0,0,26
0.53891991,0.46108009,0,0,0,0,0,27
0.549165769,0.450834231,0,0,0,0,0,28
0.553266094,0.446733906,0,0,0,0,0,29
0.560845755,0.431179107,0.007975138,0,0,0,0,30
0.604357837,0.395642163,0,0,0,0,0,31
0.608610932,0.391389068,0,0,0,0,0,32
0.616824996,0.383175004,0,0,0,0,0,33
0.639319758,0.360680242,0,0,0,0,0,34
0.684257244,0.315742756,0,0,0,0,0,35
0.691725516,0.284579744,0.023694741,0,0,0,0,36
0.714275857,0.285724143,0,0,0,0,0,37
0.727227234,0.272772766,0,0,0,0,0,38
0.752027888,0.247972112,0,0,0,0,0,39
0.759612192,0.240387808,0,0,0,0,0,40
0.76056465,0.23943535,0,0,0,0,0,41
0.778574276,0.221425724,0,0,0,0,0,42
0.7888648,0.2111352,0,0,0,0,0,43
0.822231346,0.177768654,0,0,0,0,0,44
0.86418906,0.13581094,0,0,0,0,0,45
0.874656838,0.125343162,0,0,0,0,0,46
0.905084431,0.094915569,0,0,0,0,0,47
0.932269489,0.067730511,0,0,0,0,0,48
0.93603376,0.06396624,0,0,0,0,0,49
0.938528589,0.061471411,0,0,0,0,0,50
0.983976796,0.016023204,0,0,0,0,0,51
