#SampleID	filename	Gender	UNC	GLY	SUL	Tetra	TAU	OXO	AA	MIXED	HOST	MICROBIAL
BP000096845.n.mzML.1	BP000096845.n.mzML	Male	1	1	0	0	0	0	0	1	0	0
BP000096845.p.mzML.1	BP000096845.p.mzML	Male	1	1	0	0	0	1	0	1	0	1
BP000096853.n.mzML.1	BP000096853.n.mzML	Male	1	1	0	0	0	0	0	1	0	0
BP000096853.p.mzML.1	BP000096853.p.mzML	Male	1	1	0	0	0	1	0	1	0	1
BP000096861.n.mzML.1	BP000096861.n.mzML	Male	1	1	0	0	0	0	0	1	0	0
BP000096861.p.mzML.1	BP000096861.p.mzML	Male	1	1	0	0	1	1	0	1	1	1
BP000096877.n.mzML.1	BP000096877.n.mzML	Male	1	1	0	0	0	0	0	1	0	0
BP000096877.p.mzML.1	BP000096877.p.mzML	Male	1	1	0	0	0	1	0	1	0	1
BP000096893.n.mzML.1	BP000096893.n.mzML	Male	1	1	0	0	0	0	0	1	0	0
BP000096893.p.mzML.1	BP000096893.p.mzML	Male	1	1	0	0	1	1	0	1	1	1
BP000096909.n.mzML.1	BP000096909.n.mzML	Male	1	1	0	0	0	0	0	1	0	0
BP000096909.p.mzML.1	BP000096909.p.mzML	Male	1	1	0	1	1	1	0	1	1	1
BP000096925.n.mzML.1	BP000096925.n.mzML	Male	1	1	0	0	0	0	0	1	0	0
BP000096925.p.mzML.1	BP000096925.p.mzML	Male	1	1	0	0	1	1	0	1	1	1
BP000096941.n.mzML.1	BP000096941.n.mzML	Male	1	1	0	0	0	0	0	1	0	0
BP000096941.p.mzML.1	BP000096941.p.mzML	Male	1	1	0	0	0	1	0	1	0	1
BP000096957.n.mzML.1	BP000096957.n.mzML	Male	1	1	0	0	0	0	0	1	0	0
BP000096957.p.mzML.1	BP000096957.p.mzML	Male	1	1	0	0	1	1	0	1	1	1
BP000096965.n.mzML.1	BP000096965.n.mzML	Male	1	1	0	0	0	0	0	1	0	0
BP000096965.p.mzML.1	BP000096965.p.mzML	Male	1	1	0	0	0	1	0	1	0	1
BP000096973.n.mzML.1	BP000096973.n.mzML	Male	1	1	0	0	0	0	0	1	0	0
BP000096973.p.mzML.1	BP000096973.p.mzML	Male	1	1	0	0	1	1	0	1	1	1
BP000096989.n.mzML.1	BP000096989.n.mzML	Male	1	1	0	0	0	0	0	1	0	0
BP000096989.p.mzML.1	BP000096989.p.mzML	Male	1	1	0	0	0	0	0	1	0	0
BP000097005.n.mzML.1	BP000097005.n.mzML	Male	1	1	0	0	0	0	0	1	0	0
BP000097005.p.mzML.1	BP000097005.p.mzML	Male	1	1	0	0	0	1	0	1	0	1
BP000097021.n.mzML.1	BP000097021.n.mzML	Male	1	1	0	0	0	0	0	1	0	0
BP000097021.p.mzML.1	BP000097021.p.mzML	Male	1	1	0	0	0	1	0	1	0	1
BP000097029.n.mzML.1	BP000097029.n.mzML	Male	1	1	0	0	0	0	0	1	0	0
BP000097029.p.mzML.1	BP000097029.p.mzML	Male	1	1	0	0	0	1	0	1	0	1
BP000097061.n.mzML.1	BP000097061.n.mzML	Male	1	0	0	0	0	0	0	1	0	0
BP000097061.p.mzML.1	BP000097061.p.mzML	Male	1	0	0	0	0	1	0	1	0	1
BP000097077.n.mzML.1	BP000097077.n.mzML	Male	1	1	0	0	0	0	0	1	0	0
BP000097077.p.mzML.1	BP000097077.p.mzML	Male	1	1	0	0	0	1	0	1	0	1
BP000097153.n.mzML.1	BP000097153.n.mzML	Male	1	1	0	0	0	0	0	1	0	0
BP000097153.p.mzML.1	BP000097153.p.mzML	Male	1	1	0	0	1	1	0	1	1	1
BP000097169.n.mzML.1	BP000097169.n.mzML	Male	1	1	0	0	0	0	0	1	0	0
BP000097169.p.mzML.1	BP000097169.p.mzML	Male	1	1	0	0	0	1	0	1	0	1
BP000097185.n.mzML.1	BP000097185.n.mzML	Male	1	1	0	0	0	0	0	1	0	0
BP000097185.p.mzML.1	BP000097185.p.mzML	Male	1	1	0	0	0	1	0	1	0	1
BP000098339.n.mzML.1	BP000098339.n.mzML	Male	1	0	0	0	0	0	0	1	0	0
BP000098339.p.mzML.1	BP000098339.p.mzML	Male	1	1	0	0	0	1	0	1	0	1
BP000098355.n.mzML.1	BP000098355.n.mzML	Male	1	1	0	0	0	0	0	1	0	0
BP000098355.p.mzML.1	BP000098355.p.mzML	Male	1	1	0	0	1	1	0	1	1	1
BP000098363.n.mzML.1	BP000098363.n.mzML	Male	1	1	0	0	0	0	0	1	0	0
BP000098363.p.mzML.1	BP000098363.p.mzML	Male	1	1	0	0	0	1	0	1	0	1
BP000098371.n.mzML.1	BP000098371.n.mzML	Male	1	1	0	0	0	0	0	1	0	0
BP000098371.p.mzML.1	BP000098371.p.mzML	Male	1	1	0	0	1	1	0	1	1	1
BP000098379.n.mzML.1	BP000098379.n.mzML	Male	1	0	0	0	0	0	0	1	0	0
BP000098379.p.mzML.1	BP000098379.p.mzML	Male	1	1	0	0	0	1	0	1	0	1
BP000098387.n.mzML.1	BP000098387.n.mzML	Male	1	1	0	0	0	0	0	1	0	0
BP000098387.p.mzML.1	BP000098387.p.mzML	Male	1	1	0	0	0	1	0	1	0	1
BP000098403.n.mzML.1	BP000098403.n.mzML	Male	1	1	0	0	0	0	0	1	0	0
BP000098403.p.mzML.1	BP000098403.p.mzML	Male	1	1	0	0	0	1	0	1	0	1
BP000098427.n.mzML.1	BP000098427.n.mzML	Male	1	1	0	0	0	0	0	1	0	0
BP000098427.p.mzML.1	BP000098427.p.mzML	Male	1	1	0	0	0	1	0	1	0	1
BP000098435.n.mzML.1	BP000098435.n.mzML	Male	1	1	0	0	0	0	0	1	0	0
BP000098435.p.mzML.1	BP000098435.p.mzML	Male	1	1	0	0	0	1	0	1	0	1
BP000098451.n.mzML.1	BP000098451.n.mzML	Male	1	1	0	0	0	0	0	1	0	0
BP000098451.p.mzML.1	BP000098451.p.mzML	Male	1	1	0	0	0	0	0	1	0	0
BP000098467.n.mzML.1	BP000098467.n.mzML	Male	1	1	0	0	0	0	0	1	0	0
BP000098467.p.mzML.1	BP000098467.p.mzML	Male	1	1	0	0	1	1	0	1	1	1
BP000098483.n.mzML.1	BP000098483.n.mzML	Male	1	1	0	0	0	0	0	1	0	0
BP000098483.p.mzML.1	BP000098483.p.mzML	Male	1	1	0	0	1	1	0	1	1	1
BP000098499.n.mzML.1	BP000098499.n.mzML	Male	1	0	0	0	0	0	0	1	0	0
BP000098499.p.mzML.1	BP000098499.p.mzML	Male	1	0	0	0	1	1	0	1	1	1
dhmc.1.10.mzML.1	dhmc_1_10.mzML	Female	1	0	0	0	1	1	0	1	1	1
dhmc.3.1.mzML.1	dhmc.3_1.mzML	Female	1	1	0	0	0	1	1	1	0	1
dhmc.6.10.mzML.1	dhmc.6_10.mzML	Female	1	1	0	0	1	1	1	1	1	1
dhmc.7.10.mzML.1	dhmc.7_10.mzML	Female	1	0	0	0	0	1	1	1	0	1
dhmc.8.10.mzML.1	dhmc.8_10.mzML	Male	1	1	0	1	1	1	0	1	1	1
dhmc.9.10.mzML.1	dhmc.9_10.mzML	Female	1	1	0	0	1	1	1	1	1	1
Fecal.1.3ACN.3IPA.2H2O.RA11.199.mzML.1	Fecal-1-3ACN-3IPA-2H2O.RA11_199.mzML	Male	1	1	0	0	1	1	0	1	1	1
Fecal.1.3ACN.3IPA.2H2O.RA11.200.mzML.1	Fecal-1-3ACN-3IPA-2H2O.RA11.200.mzML	Male	1	1	0	0	1	1	0	1	1	1
Fecal.1.3ACN.3IPA.2H2O.RA11.201.mzML.1	Fecal-1-3ACN-3IPA-2H2O.RA11.201.mzML	Male	1	1	0	0	1	1	0	1	1	1
Fecal.1.5EtOH.5H2O.RA10.151.mzML.1	Fecal-1-5EtOH-5H2O.RA10_151.mzML	Male	1	1	0	0	1	1	0	1	1	1
Fecal.1.5EtOH.5H2O.RA10.152.mzML.1	Fecal-1-5EtOH-5H2O.RA10_152.mzML	Male	1	1	0	1	1	1	0	1	1	1
Fecal.1.5EtOH.5H2O.RA10.153.mzML.1	Fecal-1-5EtOH-5H2O.RA10_153.mzML	Male	1	1	0	0	1	1	0	1	1	1
Fecal.1.5MeOH.5ACN.RA7.116.mzML.1	Fecal-1-5MeOH-5ACN.RA7_116.mzML	Male	1	1	0	0	1	1	0	1	1	1
Fecal.1.5MeOH.5ACN.RA7.117.mzML.1	Fecal-1-5MeOH-5ACN.RA7_117.mzML	Male	1	1	0	0	1	1	0	1	1	1
Fecal.1.5MeOH.5ACN.RA7.118.mzML.1	Fecal-1-5MeOH-5ACN.RA7_118.mzML	Male	1	1	0	0	1	1	0	1	1	1
Fecal.1.5MeOH.5H2O.RA6.155.mzML.1	Fecal-1-5MeOH-5H2O.RA6_155.mzML	Male	1	1	0	0	1	1	0	1	1	1
Fecal.1.5MeOH.5H2O.RA6.156.mzML.1	Fecal-1-5MeOH-5H2O.RA6_156.mzML	Male	1	1	0	1	1	1	0	1	1	1
Fecal.1.5MeOH.5H2O.RA6.157.mzML.1	Fecal-1-5MeOH-5H2O.RA6_157.mzML	Male	1	1	0	0	1	1	0	1	1	1
Fecal.1.6MeOH.4H2O.RA5.132.mzML.1	Fecal-1-6MeOH-4H2O.RA5_132.mzML	Male	1	1	0	0	1	1	0	1	1	1
Fecal.1.6MeOH.4H2O.RA5.133.mzML.1	Fecal-1-6MeOH-4H2O.RA5_133.mzML	Male	1	1	0	0	1	1	0	1	1	1
Fecal.1.6MeOH.4H2O.RA5.134.mzML.1	Fecal-1-6MeOH-4H2O.RA5_134.mzML	Male	1	1	0	0	1	1	0	1	1	1
Fecal.1.7ACN.3H2O.RA9.159.mzML.1	Fecal-1-7ACN-3H2O.RA9_159.mzML	Male	1	1	0	0	1	1	0	1	1	1
Fecal.1.7ACN.3H2O.RA9.160.mzML.1	Fecal-1-7ACN-3H2O.RA9_160.mzML	Male	1	1	0	0	1	1	0	1	1	1
Fecal.1.7ACN.3H2O.RA9.161.mzML.1	Fecal-1-7ACN-3H2O.RA9_161.mzML	Male	1	1	0	0	1	1	0	1	1	1
Fecal.1.7MeOH.3H2O.RA4.100.mzML.1	Fecal-1-7MeOH-3H2O.RA4_100.mzML	Male	1	1	0	0	1	1	0	1	1	1
Fecal.1.7MeOH.3H2O.RA4.101.mzML.1	Fecal-1-7MeOH-3H2O.RA4_101.mzML	Male	1	1	0	0	1	1	0	1	1	1
Fecal.1.7MeOH.3H2O.RA4.102.mzML.1	Fecal-1-7MeOH-3H2O.RA4_102.mzML	Male	1	1	0	0	1	1	0	1	1	1
Fecal.1.8MeOH.2H2O.RA3.81.mzML.1	Fecal-1-8MeOH-2H2O.RA3.81.mzML	Male	1	1	0	0	1	1	0	1	1	1
Fecal.1.8MeOH.2H2O.RA3.82.mzML.1	Fecal-1-8MeOH-2H2O.RA3.82.mzML	Male	1	1	0	0	1	1	0	1	1	1
Fecal.1.8MeOH.2H2O.RA3.83.mzML.1	Fecal-1-8MeOH-2H2O.RA3.83.mzML	Male	1	1	0	0	1	1	0	1	1	1
Fecal.1.9MeOH.1H2O.RA2.65.mzML.1	Fecal-1-9MeOH-1H2O.RA2.65.mzML	Male	1	1	0	0	1	1	0	1	1	1
Fecal.1.9MeOH.1H2O.RA2.66.mzML.1	Fecal-1-9MeOH-1H2O.RA2.66.mzML	Male	1	1	0	0	1	1	0	1	1	1
Fecal.1.9MeOH.1H2O.RA2.67.mzML.1	Fecal-1-9MeOH-1H2O.RA2.67.mzML	Male	1	1	0	0	1	1	0	1	1	1
Fecal.1.ACN.RA8.49.mzML.1	Fecal-1-ACN.RA8.49.mzML	Male	1	0	0	0	0	1	0	1	0	1
Fecal.1.ACN.RA8.50.mzML.1	Fecal-1-ACN.RA8.50.mzML	Male	1	0	0	0	0	1	0	1	0	1
Fecal.1.ACN.RA8.51.mzML.1	Fecal-1-ACN.RA8.51.mzML	Male	1	0	0	0	1	1	0	1	1	1
Fecal.1.MeOH.RA1.33.mzML.1	Fecal-1-MeOH.RA1.33.mzML	Male	1	1	0	0	1	1	0	1	1	1
Fecal.1.MeOH.RA1.34.mzML.1	Fecal-1-MeOH.RA1.34.mzML	Male	1	1	0	1	1	1	0	1	1	1
Fecal.1.MeOH.RA1.35.mzML.1	Fecal-1-MeOH.RA1.35.mzML	Male	1	1	0	0	1	1	0	1	1	1
Fecal.2.3ACN.3IPA.2H2O.RB11.203.mzML.1	Fecal-2-3ACN-3IPA-2H2O.RB11.203.mzML	Male	1	1	0	1	1	1	0	1	1	1
Fecal.2.3ACN.3IPA.2H2O.RB11.204.mzML.1	Fecal-2-3ACN-3IPA-2H2O.RB11.204.mzML	Male	1	1	0	1	1	1	0	1	1	1
Fecal.2.3ACN.3IPA.2H2O.RB11.205.mzML.1	Fecal-2-3ACN-3IPA-2H2O.RB11.205.mzML	Male	1	1	0	0	1	1	0	1	1	1
Fecal.2.5EtOH.5H2O.RB10.163.mzML.1	Fecal-2-5EtOH-5H2O.RB10_163.mzML	Male	1	1	0	1	1	1	0	1	1	1
Fecal.2.5EtOH.5H2O.RB10.164.mzML.1	Fecal-2-5EtOH-5H2O.RB10_164.mzML	Male	1	1	0	1	1	1	0	1	1	1
Fecal.2.5EtOH.5H2O.RB10.165.mzML.1	Fecal-2-5EtOH-5H2O.RB10_165.mzML	Male	1	1	0	0	1	1	0	1	1	1
Fecal.2.5MeOH.5ACN.RB7.120.mzML.1	Fecal-2-5MeOH-5ACN.RB7_120.mzML	Male	1	1	0	1	1	1	0	1	1	1
Fecal.2.5MeOH.5ACN.RB7.121.mzML.1	Fecal-2-5MeOH-5ACN.RB7_121.mzML	Male	1	1	0	0	1	1	0	1	1	1
Fecal.2.5MeOH.5ACN.RB7.122.mzML.1	Fecal-2-5MeOH-5ACN.RB7_122.mzML	Male	1	1	0	1	1	1	0	1	1	1
Fecal.2.5MeOH.5H2O.RB6.167.mzML.1	Fecal-2-5MeOH-5H2O.RB6_167.mzML	Male	1	1	0	1	1	1	0	1	1	1
Fecal.2.5MeOH.5H2O.RB6.168.mzML.1	Fecal-2-5MeOH-5H2O.RB6_168.mzML	Male	1	1	0	1	1	1	0	1	1	1
Fecal.2.5MeOH.5H2O.RB6.169.mzML.1	Fecal-2-5MeOH-5H2O.RB6_169.mzML	Male	1	1	0	1	0	1	0	1	1	1
Fecal.2.6MeOH.4H2O.RB5.136.mzML.1	Fecal-2-6MeOH-4H2O.RB5_136.mzML	Male	1	1	0	1	0	1	0	1	1	1
Fecal.2.6MeOH.4H2O.RB5.137.mzML.1	Fecal-2-6MeOH-4H2O.RB5_137.mzML	Male	1	1	0	1	0	1	0	1	1	1
Fecal.2.6MeOH.4H2O.RB5.138.mzML.1	Fecal-2-6MeOH-4H2O.RB5_138.mzML	Male	1	1	0	1	0	1	0	1	1	1
Fecal.2.7ACN.3H2O.RB9.171.mzML.1	Fecal-2-7ACN-3H2O.RB9_171.mzML	Male	1	1	0	1	1	1	0	1	1	1
Fecal.2.7ACN.3H2O.RB9.172.mzML.1	Fecal-2-7ACN-3H2O.RB9_172.mzML	Male	1	1	0	1	1	1	0	1	1	1
Fecal.2.7ACN.3H2O.RB9.173.mzML.1	Fecal-2-7ACN-3H2O.RB9_173.mzML	Male	1	1	0	1	1	1	0	1	1	1
Fecal.2.7MeOH.3H2O.RB4.104.mzML.1	Fecal-2-7MeOH-3H2O.RB4_104.mzML	Male	1	1	0	1	1	1	0	1	1	1
Fecal.2.7MeOH.3H2O.RB4.105.mzML.1	Fecal-2-7MeOH-3H2O.RB4_105.mzML	Male	1	1	0	1	1	1	0	1	1	1
Fecal.2.7MeOH.3H2O.RB4.106.mzML.1	Fecal-2-7MeOH-3H2O.RB4_106.mzML	Male	1	1	0	1	1	1	0	1	1	1
Fecal.2.8MeOH.2H2O.RB3.85.mzML.1	Fecal-2-8MeOH-2H2O.RB3.85.mzML	Male	1	1	0	0	1	1	0	1	1	1
Fecal.2.8MeOH.2H2O.RB3.86.mzML.1	Fecal-2-8MeOH-2H2O.RB3.86.mzML	Male	1	1	0	1	1	1	0	1	1	1
Fecal.2.8MeOH.2H2O.RB3.87.mzML.1	Fecal-2-8MeOH-2H2O.RB3.87.mzML	Male	1	1	0	1	1	1	0	1	1	1
Fecal.2.ACN.RB8.53.mzML.1	Fecal-2-ACN.RB8.53.mzML	Male	1	0	0	0	1	1	0	1	1	1
Fecal.2.ACN.RB8.54.mzML.1	Fecal-2-ACN.RB8.54.mzML	Male	1	0	0	0	0	1	0	1	0	1
Fecal.2.ACN.RB8.55.mzML.1	Fecal-2-ACN.RB8.55.mzML	Male	1	0	0	0	1	1	0	1	1	1
Fecal.2.MeOH.RB1.37.mzML.1	Fecal-2-MeOH.RB1.37.mzML	Male	1	1	0	1	1	1	0	1	1	1
Fecal.2.MeOH.RB1.38.mzML.1	Fecal-2-MeOH.RB1.38.mzML	Male	1	1	0	1	1	1	0	1	1	1
Fecal.2.MeOH.RB1.39.mzML.1	Fecal-2-MeOH.RB1.39.mzML	Male	1	1	0	1	1	1	0	1	1	1
M.144.mzML.1	M-144.mzML	Female	1	1	0	0	1	1	0	1	1	1
M.160.mzML.1	M-160.mzML	Female	1	1	0	0	1	1	0	1	1	1
M.176.mzML.1	M-176.mzML	Female	1	0	0	0	0	1	0	1	0	1
M.179.mzML.1	M-179.mzML	Female	1	0	0	0	0	1	0	1	0	1
M.192.mzML.1	M-192.mzML	Female	1	0	0	0	0	1	0	1	0	1
M.208.mzML.1	M-208.mzML	Female	1	1	0	1	1	1	1	1	1	1
M.211.mzML.1	M-211.mzML	Female	1	1	0	0	1	1	0	1	1	1
M.227.mzML.1	M-227.mzML	Female	1	1	0	0	1	1	0	1	1	1
M.240.mzML.1	M-240.mzML	Female	1	0	0	0	0	1	0	1	0	1
M.243.mzML.1	M-243.mzML	Female	1	0	0	1	0	1	0	1	1	1
M.307.mzML.1	M-307.mzML	Female	1	1	0	1	0	1	0	1	1	1
M.334.mzML.1	M-334.mzML	Female	1	1	0	0	0	1	0	1	0	1
M.355.mzML.1	M-355.mzML	Female	1	0	0	0	0	1	0	1	0	1
M.387.mzML.1	M-387.mzML	Female	1	1	0	0	0	1	0	1	0	1
M.435.mzML.1	M-435.mzML	Female	1	0	0	0	0	1	0	1	0	1
M.448.mzML.1	M-448.mzML	Female	1	1	0	0	0	1	1	1	0	1
M.451.mzML.1	M-451.mzML	Female	1	1	0	0	0	1	0	1	0	1
M.467.mzML.1	M-467.mzML	Female	1	1	0	0	0	1	0	1	0	1
M.483.mzML.1	M-483.mzML	Female	1	1	0	1	0	1	0	1	1	1
M.496.mzML.1	M-496.mzML	Female	1	1	0	0	0	1	1	1	0	1
M.499.mzML.1	M-499.mzML	Female	1	1	0	0	0	1	0	1	0	1
M.512.mzML.1	M-512.mzML	Female	1	0	0	0	0	1	0	1	0	1
M.547.mzML.1	M-547.mzML	Female	1	0	0	0	0	1	0	1	0	1
M.627.mzML.1	M-627.mzML	Female	1	0	0	0	0	1	0	1	0	1
M.643.mzML.1	M-643.mzML	Female	1	1	0	0	1	1	1	1	1	1
M.656.mzML.1	M-656.mzML	Female	1	0	1	0	0	1	1	1	0	1
M.675.mzML.1	M-675.mzML	Female	1	0	0	0	0	1	0	1	0	1
M.704.mzML.1	M-704.mzML	Female	1	0	0	0	0	1	0	1	0	1
M.864.mzML.1	M-864.mzML	Female	1	1	0	0	0	1	0	1	0	1
M.994.mzML.1	M-994.mzML	Female	1	0	0	0	0	1	0	1	0	1
mayo.1.10.mzML.1	mayo_1_10.mzML	Male	1	1	0	0	1	0	1	1	1	1
X11713.1.F.1A.mzML.1	11713_1.F_1A.mzML	Female	0	1	0	0	0	0	0	1	0	0
X11713.1.F.1C.mzML.1	11713_1.F_1C.mzML	Female	1	1	0	0	1	0	0	1	1	0
X11713.1.F.1E.mzML.1	11713_1.F_1E.mzML	Female	1	1	0	0	1	0	0	1	1	0
X11713.1.F.1F.mzML.1	11713_1.F_1F.mzML	Female	0	0	0	0	0	1	0	0	0	1
X11713.1.O.1G.mzML.1	11713_1.O_1G.mzML	Female	0	0	0	0	1	0	0	0	1	0
X11713.10.F.10A.mzML.1	11713_10.F_10A.mzML	Female	1	1	0	0	1	0	0	1	1	0
X11713.10.F.10B.mzML.1	11713_10.F_10B.mzML	Female	0	1	0	0	1	0	0	1	1	0
X11713.10.F.10C.mzML.1	11713_10.F_10C.mzML	Female	1	1	0	0	1	0	0	1	1	0
X11713.10.F.10D.mzML.1	11713_10.F_10D.mzML	Female	0	0	0	0	1	0	0	0	1	0
X11713.10.F.10E.mzML.1	11713_10.F_10E.mzML	Female	0	0	0	0	1	1	0	0	1	1
X11713.10.F.10G.mzML.1	11713_10.F_10G.mzML	Female	1	1	0	0	1	0	0	1	1	0
X11713.11.F.11A.mzML.1	11713_11.F_11A.mzML	Female	0	1	0	0	1	0	0	1	1	0
X11713.11.F.11B.mzML.1	11713_11.F_11B.mzML	Female	1	1	0	0	1	0	0	1	1	0
X11713.11.F.11C.mzML.1	11713_11.F_11C.mzML	Female	0	1	0	0	1	0	0	1	1	0
X11713.11.F.11F.mzML.1	11713_11.F_11F.mzML	Female	1	1	0	0	1	1	0	1	1	1
X11713.12.F.12C.mzML.1	11713_12.F_12C.mzML	Female	1	0	0	0	0	0	0	1	0	0
X11713.12.F.12D.mzML.1	11713_12.F_12D.mzML	Female	0	0	0	0	1	0	0	0	1	0
X11713.12.F.8.12A.mzML.1	11713_12.F.8_12A.mzML	Female	0	0	0	0	1	0	0	0	1	0
X11713.13.F.13A.mzML.1	11713_13.F_13A.mzML	Male	0	1	0	0	1	0	0	1	1	0
X11713.13.F.13B.mzML.1	11713_13.F_13B.mzML	Male	0	1	0	0	1	0	0	1	1	0
X11713.13.F.13E.mzML.1	11713_13.F_13E.mzML	Male	0	1	0	0	1	0	0	1	1	0
X11713.14.F.14A.mzML.1	11713_14.F_14A.mzML	Male	1	1	0	0	1	1	0	1	1	1
X11713.14.F.14B.mzML.1	11713_14.F_14B.mzML	Male	1	1	0	0	1	0	0	1	1	0
X11713.14.F.14C.mzML.1	11713_14.F_14C.mzML	Male	0	1	0	0	1	0	0	1	1	0
X11713.15.F.15D.mzML.1	11713_15.F_15D.mzML	Male	0	1	0	0	1	1	0	1	1	1
X11713.15.F.15F.mzML.1	11713_15.F_15F.mzML	Male	0	1	0	0	1	0	0	1	1	0
X11713.15.F.15H.mzML.1	11713_15.F_15H.mzML	Male	1	1	0	0	1	0	0	1	1	0
X11713.16.F.16A.mzML.1	11713_16.F_16A.mzML	Male	1	1	0	0	1	0	0	1	1	0
X11713.16.F.16B.mzML.1	11713_16.F_16B.mzML	Male	1	1	0	0	1	1	0	1	1	1
