TAU,AA,PlotOrder
1,0,1
1,0,2
1,0,3
1,0,4
1,0,5
1,0,6
1,0,7
1,0,8
1,0,9
1,0,10
1,0,11
1,0,12
1,0,13
1,0,14
1,0,15
1,0,16
1,0,17
1,0,18
1,0,19
1,0,20
1,0,21
1,0,22
1,0,23
1,0,24
1,0,25
1,0,26
1,0,27
1,0,28
1,0,29
1,0,30
1,0,31
1,0,32
1,0,33
1,0,34
1,0,35
1,0,36
1,0,37
1,0,38
1,0,39
1,0,40
1,0,41
1,0,42
1,0,43
1,0,44
1,0,45
1,0,46
1,0,47
1,0,48
1,0,49
1,0,50
1,0,51
1,0,52
1,0,53
1,0,54
1,0,55
1,0,56
1,0,57
1,0,58
1,0,59
1,0,60
1,0,61
1,0,62
1,0,63
1,0,64
1,0,65
1,0,66
1,0,67
1,0,68
1,0,69
1,0,70
1,0,71
1,0,72
1,0,73
1,0,74
1,0,75
1,0,76
1,0,77
1,0,78
1,0,79
1,0,80
1,0,81
1,0,82
1,0,83
1,0,84
1,0,85
1,0,86
1,0,87
1,0,88
1,0,89
1,0,90
1,0,91
1,0,92
1,0,93
1,0,94
1,0,95
1,0,96
1,0,97
1,0,98
1,0,99
1,0,100
1,0,101
1,0,102
1,0,103
1,0,104
1,0,105
1,0,106
1,0,107
1,0,108
1,0,109
1,0,110
1,0,111
1,0,112
1,0,113
1,0,114
1,0,115
1,0,116
1,0,117
1,0,118
1,0,119
1,0,120
1,0,121
1,0,122
1,0,123
1,0,124
1,0,125
1,0,126
1,0,127
1,0,128
0.996351399,0.003648601,129
0.990029599,0.009970401,130
0.986731475,0.013268525,131
0.982682561,0.017317439,132
0.94693005,0.05306995,133
0.944094858,0.055905142,134
0.917968801,0.082031199,135
0.908622268,0.091377732,136
0.886588453,0.113411547,137
0.884792374,0.115207626,138
0.880317097,0.119682903,139
0.857382699,0.142617301,140
0.851783302,0.148216698,141
0.840132137,0.159867863,142
0.832108805,0.167891195,143
0.830455985,0.169544015,144
0.818732639,0.181267361,145
0.751030401,0.248969599,146
0.725844244,0.274155756,147
0.687113704,0.312886296,148
0.684097445,0.315902555,149
0.676766117,0.323233883,150
0.601598764,0.398401236,151
0.565036098,0.434963902,152
0.506076061,0.493923939,153
0.467231638,0.532768362,154
0.411527295,0.588472705,155
0.40353862,0.59646138,156
0.376911884,0.623088116,157
0.351637485,0.648362515,158
0.344628958,0.655371042,159
0.33921111,0.66078889,160
0.186111096,0.813888904,161
0.179378771,0.820621229,162
0.035941305,0.964058695,163
0,1,164
0,1,165
0,1,166
0,1,167
0,1,168
0,1,169
0,1,170
0,1,171
0,1,172
0,1,173
0,1,174
0,1,175
0,1,176
0,1,177
0,1,178
0,1,179
0,1,180
0,1,181
0,1,182
0,1,183
0,1,184
0,1,185
0,1,186
0,1,187
0,1,188
0,1,189
0,1,190
0,1,191
0,1,192
0,1,193
0,1,194
0,1,195
