TAU,AA,PlotOrder
1,0,1
1,0,2
1,0,3
1,0,4
1,0,5
1,0,6
1,0,7
1,0,8
1,0,9
1,0,10
1,0,11
1,0,12
1,0,13
1,0,14
1,0,15
1,0,16
1,0,17
1,0,18
1,0,19
1,0,20
1,0,21
1,0,22
1,0,23
1,0,24
1,0,25
1,0,26
1,0,27
1,0,28
1,0,29
1,0,30
1,0,31
1,0,32
1,0,33
1,0,34
1,0,35
1,0,36
1,0,37
1,0,38
1,0,39
1,0,40
1,0,41
1,0,42
1,0,43
1,0,44
1,0,45
1,0,46
1,0,47
1,0,48
1,0,49
1,0,50
1,0,51
1,0,52
1,0,53
1,0,54
1,0,55
1,0,56
1,0,57
1,0,58
1,0,59
1,0,60
1,0,61
1,0,62
1,0,63
1,0,64
1,0,65
1,0,66
1,0,67
1,0,68
1,0,69
1,0,70
1,0,71
1,0,72
1,0,73
1,0,74
1,0,75
1,0,76
1,0,77
1,0,78
1,0,79
1,0,80
1,0,81
1,0,82
1,0,83
1,0,84
1,0,85
1,0,86
1,0,87
1,0,88
1,0,89
1,0,90
1,0,91
1,0,92
1,0,93
1,0,94
1,0,95
1,0,96
1,0,97
1,0,98
1,0,99
1,0,100
1,0,101
1,0,102
1,0,103
1,0,104
1,0,105
1,0,106
1,0,107
1,0,108
1,0,109
1,0,110
1,0,111
1,0,112
1,0,113
1,0,114
1,0,115
1,0,116
1,0,117
1,0,118
1,0,119
1,0,120
1,0,121
1,0,122
1,0,123
1,0,124
1,0,125
1,0,126
1,0,127
1,0,128
1,0,129
1,0,130
1,0,131
1,0,132
1,0,133
1,0,134
1,0,135
1,0,136
1,0,137
1,0,138
1,0,139
1,0,140
1,0,141
1,0,142
1,0,143
1,0,144
1,0,145
1,0,146
1,0,147
1,0,148
1,0,149
1,0,150
1,0,151
0.996755945,0.003244055,152
0.991693555,0.008306445,153
0.978565154,0.021434846,154
0.970744199,0.029255801,155
0.932858781,0.067141219,156
0.932767113,0.067232887,157
0.928817374,0.071182626,158
0.907606143,0.092393857,159
0.906457495,0.093542505,160
0.898933676,0.101066324,161
0.894280108,0.105719892,162
0.877291885,0.122708115,163
0.80344719,0.19655281,164
0.788907076,0.211092924,165
0.640550618,0.359449382,166
0.632254752,0.367745248,167
0.611944995,0.388055005,168
0.585367872,0.414632128,169
0.564584288,0.435415712,170
0.499076087,0.500923913,171
0.497394006,0.502605994,172
0.495217856,0.504782144,173
0.440673316,0.559326684,174
0.42640239,0.57359761,175
0.38023063,0.61976937,176
0.375098107,0.624901893,177
0.369527481,0.630472519,178
0.336551066,0.663448934,179
0.319814249,0.680185751,180
0.30441033,0.69558967,181
0.177641436,0.822358564,182
0.140757853,0.859242147,183
0.112265493,0.887734507,184
0.111986566,0.888013434,185
0.109213492,0.890786508,186
0.10021408,0.89978592,187
0.065565414,0.934434586,188
0,1,189
0,1,190
0,1,191
0,1,192
0,1,193
0,1,194
0,1,195
0,1,196
0,1,197
0,1,198
0,1,199
